,Bank,Company,Bank_Country,Company_Country,Amount,Bank_Zone,Company_Zone
331,Citi,Teck Resources Ltd,United States,Canada,53822916.83890001,United States,North America
332,Citi,TotalEnergies SE,United States,France,2765002062.522599,United States,Europe
333,Citi,Xin Jiang Guang Hui Industry Investment Group Co Ltd,United States,China,6802603.945534943,United States,China
334,Citi,Yangcheng County Yangtai Group Industrial Co Ltd,United States,China,39513103.5816835,United States,China
335,Commerzbank,Gazprom PJSC,Germany,Russia,404654672.6379588,Europe,Europe
336,Commerzbank,Glencore PLC,Germany,Switzerland,555194497.0370378,Europe,Europe
337,Commerzbank,Inpex Corp,Germany,Japan,230769230.0,Europe,Asia
338,Commerzbank,Mitsubishi Corp,Germany,Japan,22675740.0,Europe,Asia
339,Commerzbank,Repsol SA,Germany,Spain,113365880.5544933,Europe,Europe
340,Commerzbank,Shell PLC,Germany,United Kingdom,47690190.0,Europe,Europe
341,Commerzbank,TotalEnergies SE,Germany,France,118360000.0,Europe,Europe
342,Commonwealth Bank,Glencore PLC,Australia,Switzerland,464489315.3309328,Oceania,Europe
343,Commonwealth Bank,Inpex Corp,Australia,Japan,1050875000.0,Oceania,Asia
344,Commonwealth Bank,State Grid Corp of China,Australia,China,196429742.5471841,Oceania,China
345,Credit Suisse,Adani Group,Switzerland,India,168461960.7288068,Europe,Asia
346,Credit Suisse,Arch Resources Inc,Switzerland,United States,128178572.0,Europe,United States
347,Credit Suisse,Chevron Corp,Switzerland,United States,112629612.0,Europe,United States
348,Credit Suisse,China Huadian Corp Ltd,Switzerland,China,198917832.9366802,Europe,China
349,Credit Suisse,China Huaneng Group Co Ltd,Switzerland,China,255785206.4830106,Europe,China
350,Credit Suisse,ConocoPhillips,Switzerland,United States,1865241364.0,Europe,United States
351,Credit Suisse,Evraz PLC,Switzerland,United Kingdom,319469.0975300091,Europe,Europe
352,Credit Suisse,Gazprom PJSC,Switzerland,Russia,136103750.0,Europe,Europe
353,Credit Suisse,Glencore PLC,Switzerland,Switzerland,688763894.7875963,Europe,Europe
354,Credit Suisse,Huayang New Material Technology Group Co Ltd,Switzerland,China,217896969.945,Europe,China
355,Credit Suisse,PPL Corp,Switzerland,United States,374625000.0,Europe,United States
356,Credit Suisse,Peabody Energy Corp,Switzerland,United States,1303961680.0,Europe,United States
357,Credit Suisse,Petróleo Brasileiro SA – Petrobras,Switzerland,Brazil,596266121.31,Europe,South America
358,Credit Suisse,Petróleos Mexicanos (PEMEX),Switzerland,Mexico,91615500.0,Europe,North America
359,Credit Suisse,QatarEnergy,Switzerland,Qatar,944444445.0,Europe,Asia
360,Credit Suisse,Repsol SA,Switzerland,Spain,113365880.5544933,Europe,Europe
361,Credit Suisse,Shell PLC,Switzerland,United Kingdom,388000000.0,Europe,Europe
362,Credit Suisse,State Grid Corp of China,Switzerland,China,219741135.763945,Europe,China
363,Credit Suisse,Titan Infra Energy PT,Switzerland,Indonesia,135000000.0,Europe,Asia
364,Credit Suisse,TotalEnergies SE,Switzerland,France,1400156359.216577,Europe,Europe
365,Crédit Agricole,BHP Group Ltd,France,Australia,60357142.88,Europe,Oceania
366,Crédit Agricole,China National Petroleum Corporation (CNPC),France,China,133333333.0,Europe,China
367,Crédit Agricole,ConocoPhillips,France,United States,375000000.0,Europe,United States
368,Crédit Agricole,Equinor ASA,France,Norway,298899358.7219936,Europe,Europe
369,Crédit Agricole,Gazprom PJSC,France,Russia,945024645.218948,Europe,Europe
370,Crédit Agricole,Glencore PLC,France,Switzerland,622866454.2580662,Europe,Europe
371,Crédit Agricole,Harbour Energy PLC,France,United Kingdom,38461538.0,Europe,Europe
372,Crédit Agricole,ITOCHU Corp,France,Japan,44166668.0,Europe,Asia
373,Crédit Agricole,Inpex Corp,France,Japan,1886644230.0,Europe,Asia
374,Crédit Agricole,Kuwait Petroleum Corp,France,Kuwait,142857143.0,Europe,Asia
375,Crédit Agricole,POSCO Holdings Inc,France,South Korea,42266681.32394297,Europe,Asia
376,Crédit Agricole,Pertamina Persero PT,France,Indonesia,1139206348.0,Europe,Asia
377,Crédit Agricole,Petróleo Brasileiro SA – Petrobras,France,Brazil,2721729597.983349,Europe,South America
378,Crédit Agricole,Petróleos Mexicanos (PEMEX),France,Mexico,2694468590.77105,Europe,North America
379,Crédit Agricole,Repsol SA,France,Spain,236966142.766093,Europe,Europe
380,Crédit Agricole,Shell PLC,France,United Kingdom,388000000.0,Europe,Europe
381,Crédit Agricole,State Grid Corp of China,France,China,38201956.46988373,Europe,China
382,Crédit Agricole,TotalEnergies SE,France,France,9457456016.163162,Europe,Europe
383,DZ Bank,Indian Oil Corp Ltd,Germany,India,74969845.57638086,Europe,Asia
384,DZ Bank,TotalEnergies SE,Germany,France,75000000.0,Europe,Europe
385,Deutsche Bank,Adani Group,Germany,India,230040744.996236,Europe,Asia
386,Deutsche Bank,BHP Group Ltd,Germany,Australia,60357142.88,Europe,Oceania
387,Deutsche Bank,Bayan Resources Tbk PT,Germany,Indonesia,200000000.0,Europe,Asia
388,Deutsche Bank,Chevron Corp,Germany,United States,32343750.0,Europe,United States
389,Deutsche Bank,China National Petroleum Corporation (CNPC),Germany,China,174336000.0,Europe,China
390,Deutsche Bank,ConocoPhillips,Germany,United States,375000000.0,Europe,United States
391,Deutsche Bank,Delek Group Ltd,Germany,Israel,78066207.828125,Europe,Asia
392,Deutsche Bank,Electricity Generating PCL,Germany,Thailand,104003337.6094426,Europe,Asia
393,Deutsche Bank,Equinor ASA,Germany,Norway,631902358.7219937,Europe,Europe
394,Deutsche Bank,Evraz PLC,Germany,United Kingdom,358144.5068120955,Europe,Europe
395,Deutsche Bank,Exxaro Resources Ltd,Germany,South Africa,59119623.84232538,Europe,Africa
396,Deutsche Bank,Exxon Mobil Corp,Germany,United States,2997231111.0,Europe,United States
397,Deutsche Bank,Gazprom PJSC,Germany,Russia,1000905910.999391,Europe,Europe
398,Deutsche Bank,Glencore PLC,Germany,Switzerland,715363786.9173045,Europe,Europe
399,Deutsche Bank,Hebei Construction & Investment Group Co Ltd,Germany,China,239639209.9612024,Europe,China
400,Deutsche Bank,Huayang New Material Technology Group Co Ltd,Germany,China,217896969.945,Europe,China
401,Deutsche Bank,Indika Energy Tbk PT,Germany,Indonesia,222304766.92875,Europe,Asia
402,Deutsche Bank,Jinneng Holding Group Co Ltd,Germany,China,271541958.3815905,Europe,China
403,Deutsche Bank,Lu'an Chemical Group Co Ltd,Germany,China,54213985.5504,Europe,China
404,Deutsche Bank,NTPC Ltd,Germany,India,263658188.97,Europe,Asia
405,Deutsche Bank,Occidental Petroleum Corp,Germany,United States,428571428.0,Europe,United States
406,Deutsche Bank,Peabody Energy Corp,Germany,United States,188000000.0,Europe,United States
407,Deutsche Bank,Pertamina Persero PT,Germany,Indonesia,525000000.0,Europe,Asia
408,Deutsche Bank,Petróleo Brasileiro SA – Petrobras,Germany,Brazil,132857142.99,Europe,South America
409,Deutsche Bank,Petróleos Mexicanos (PEMEX),Germany,Mexico,2325263625.27,Europe,North America
410,Deutsche Bank,QatarEnergy,Germany,Qatar,1744444445.0,Europe,Asia
411,Deutsche Bank,Repsol SA,Germany,Spain,222481203.7922243,Europe,Europe
412,Deutsche Bank,Shandong Energy Co Ltd,Germany,China,626074989.0054029,Europe,China
413,Deutsche Bank,Shanxi Coking Coal Group Co Ltd,Germany,China,121847273.73,Europe,China
414,Deutsche Bank,Shell PLC,Germany,United Kingdom,4036358749.0,Europe,Europe
415,Deutsche Bank,State Grid Corp of China,Germany,China,344374134.8820747,Europe,China
416,Deutsche Bank,Teck Resources Ltd,Germany,Canada,53822916.83890001,Europe,North America
417,Deutsche Bank,TotalEnergies SE,Germany,France,2091275110.286798,Europe,Europe
418,Goldman Sachs,Arch Resources Inc,United States,United States,96750000.0,United States,United States
419,Goldman Sachs,BHP Group Ltd,United States,Australia,60357142.88,United States,Oceania
420,Goldman Sachs,Chevron Corp,United States,United States,968181803.0,United States,United States
421,Goldman Sachs,China Energy Investment Corp Ltd,United States,China,267157909.9802716,United States,China
422,Goldman Sachs,China National Petroleum Corporation (CNPC),United States,China,1123751711.0,United States,China
423,Goldman Sachs,ConocoPhillips,United States,United States,280112497.0,United States,United States
424,Goldman Sachs,Delek Group Ltd,United States,Israel,59741850.0,United States,Asia
425,Goldman Sachs,Equinor ASA,United States,Norway,1450420275.721994,United States,Europe
426,Goldman Sachs,Glencore PLC,United States,Switzerland,114349353.14,United States,Europe
427,Goldman Sachs,Hess Corporation,United States,United States,3528035714.0,United States,United States
428,Goldman Sachs,Mitsubishi Corp,United States,Japan,85972237.37474473,United States,Asia
429,Goldman Sachs,POSCO Holdings Inc,United States,South Korea,44518915.79542806,United States,Asia
430,Goldman Sachs,PPL Corp,United States,United States,278065322.1186396,United States,United States
431,Goldman Sachs,Peabody Energy Corp,United States,United States,1110041667.0,United States,United States
432,Goldman Sachs,Petróleo Brasileiro SA – Petrobras,United States,Brazil,1277355566.837437,United States,South America
433,Goldman Sachs,Petróleos Mexicanos (PEMEX),United States,Mexico,2776552300.7514,United States,North America
434,Goldman Sachs,QatarEnergy,United States,Qatar,1744444445.0,United States,Asia
435,Goldman Sachs,Repsol SA,United States,Spain,638902261.4869344,United States,Europe
436,Goldman Sachs,Shandong Energy Co Ltd,United States,China,199730423.4811788,United States,China
437,Goldman Sachs,Shell PLC,United States,United Kingdom,3801418333.0,United States,Europe
438,Goldman Sachs,State Grid Corp of China,United States,China,494459187.054012,United States,China
439,Goldman Sachs,Teck Resources Ltd,United States,Canada,213999916.8389,United States,North America
440,Goldman Sachs,TotalEnergies SE,United States,France,2204754467.799752,United States,Europe
441,HSBC,Chevron Corp,United Kingdom,United States,1189610373.0,Europe,United States
442,HSBC,China Huadian Corp Ltd,United Kingdom,China,36983433.43777198,Europe,China
443,HSBC,China Huaneng Group Co Ltd,United Kingdom,China,237417265.8711732,Europe,China
444,HSBC,China National Petroleum Corporation (CNPC),United Kingdom,China,133333333.0,Europe,China
445,HSBC,ConocoPhillips,United Kingdom,United States,1788636364.0,Europe,United States
446,HSBC,Delek Group Ltd,United Kingdom,Israel,934741850.0,Europe,Asia
447,HSBC,Exxon Mobil Corp,United Kingdom,United States,7497230776.0,Europe,United States
448,HSBC,Glencore PLC,United Kingdom,Switzerland,582319409.129357,Europe,Europe
449,HSBC,Guangdong Hengjian Investment Holding Co Ltd,United Kingdom,China,5886858.122508993,Europe,China
450,HSBC,Harbour Energy PLC,United Kingdom,United Kingdom,38461538.0,Europe,Europe
451,HSBC,ITOCHU Corp,United Kingdom,Japan,44166668.0,Europe,Asia
452,HSBC,Indonesia Asahan Aluminium Persero PT,United Kingdom,Indonesia,370858035.8865595,Europe,Asia
453,HSBC,Kuwait Petroleum Corp,United Kingdom,Kuwait,142857143.0,Europe,Asia
454,HSBC,NTPC Ltd,United Kingdom,India,93000000.0,Europe,Asia
455,HSBC,Occidental Petroleum Corp,United Kingdom,United States,4037340866.471045,Europe,United States
456,HSBC,POSCO Holdings Inc,United Kingdom,South Korea,182600240.5519161,Europe,Asia
457,HSBC,Pertamina Persero PT,United Kingdom,Indonesia,1644166667.0,Europe,Asia
458,HSBC,Petróleo Brasileiro SA – Petrobras,United Kingdom,Brazil,2090340326.727781,Europe,South America
459,HSBC,Petróleos Mexicanos (PEMEX),United Kingdom,Mexico,7772220376.508041,Europe,North America
460,HSBC,QatarEnergy,United Kingdom,Qatar,1744444445.0,Europe,Asia
461,HSBC,Repsol SA,United Kingdom,Spain,426640983.5009561,Europe,Europe
462,HSBC,Shell PLC,United Kingdom,United Kingdom,5745957689.382341,Europe,Europe
463,HSBC,State Grid Corp of China,United Kingdom,China,937838952.5202717,Europe,China
464,HSBC,TotalEnergies SE,United Kingdom,France,1885635607.90002,Europe,Europe
465,HSBC,Xin Jiang Guang Hui Industry Investment Group Co Ltd,United Kingdom,China,918788.8743975832,Europe,China
466,ICBC,Beijing Energy Holding Co Ltd,China,China,2109602451.464702,China,China
467,ICBC,China Datang Corp,China,China,1425595480.785094,China,China
468,ICBC,China Energy Investment Corp Ltd,China,China,2810318554.692064,China,China
469,ICBC,China Huadian Corp Ltd,China,China,7248869734.448806,China,China
470,ICBC,China Huaneng Group Co Ltd,China,China,5729790394.775904,China,China
471,ICBC,China National Petroleum Corporation (CNPC),China,China,19600407911.0,China,China
472,ICBC,Guangdong Hengjian Investment Holding Co Ltd,China,China,500625012.0710695,China,China
473,ICBC,Hebei Construction & Investment Group Co Ltd,China,China,267180750.0,China,China
474,ICBC,Huayang New Material Technology Group Co Ltd,China,China,277614375.0,China,China
475,ICBC,Inpex Corp,China,Japan,276769230.0,China,Asia
476,ICBC,Jinneng Holding Group Co Ltd,China,China,1168882345.504022,China,China
477,ICBC,Kailuan Group Ltd Liability Corp,China,China,258729185.25,China,China
478,ICBC,Lu'an Chemical Group Co Ltd,China,China,386823442.1999999,China,China
479,ICBC,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,207520600.0,China,China
480,ICBC,Shaanxi Investment Group Co Ltd,China,China,21903150.0,China,China
481,ICBC,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,4341726210.535794,China,China
482,ICBC,Shandong Energy Co Ltd,China,China,2771458994.761119,China,China
483,ICBC,Shanxi Coking Coal Group Co Ltd,China,China,452827830.8983865,China,China
484,ICBC,Shell PLC,China,United Kingdom,821608000.0,China,Europe
485,ICBC,Shenergy Group Co Ltd,China,China,356962086.1657483,China,China
486,ICBC,State Grid Corp of China,China,China,20867896289.19395,China,China
487,ICBC,Zhejiang Provincial Energy Group Co Ltd,China,China,1476902835.0,China,China
488,ING,Delek Group Ltd,Netherlands,Israel,277915699.868125,Europe,Asia
489,ING,Evraz PLC,Netherlands,United Kingdom,533237.3760132433,Europe,Europe
490,ING,Gazprom PJSC,Netherlands,Russia,91181052.55,Europe,Europe
491,ING,Glencore PLC,Netherlands,Switzerland,1541539565.002332,Europe,Europe
492,ING,Harbour Energy PLC,Netherlands,United Kingdom,38461538.0,Europe,Europe
493,ING,Inpex Corp,Netherlands,Japan,43000000.0,Europe,Asia
494,ING,Kuwait Petroleum Corp,Netherlands,Kuwait,480833334.0,Europe,Asia
495,ING,Mitsubishi Corp,Netherlands,Japan,22675740.0,Europe,Asia
496,ING,State Grid Corp of China,Netherlands,China,68314343.28154065,Europe,China
497,ING,TotalEnergies SE,Netherlands,France,118360000.0,Europe,Europe
498,Industrial Bank,Beijing Energy Holding Co Ltd,China,China,1013360945.331448,China,China
499,Industrial Bank,China Datang Corp,China,China,2247411741.937876,China,China
500,Industrial Bank,China Energy Investment Corp Ltd,China,China,1865221056.336977,China,China
501,Industrial Bank,China Huadian Corp Ltd,China,China,1903080186.286846,China,China
502,Industrial Bank,China Huaneng Group Co Ltd,China,China,1075301302.887156,China,China
503,Industrial Bank,China National Petroleum Corporation (CNPC),China,China,947868300.0,China,China
504,Industrial Bank,China ZhenHua Oil Co Ltd,China,China,67562550.0,China,China
505,Industrial Bank,Guangdong Hengjian Investment Holding Co Ltd,China,China,1966184498.306695,China,China
506,Industrial Bank,Huayang New Material Technology Group Co Ltd,China,China,2114830750.0,China,China
507,Industrial Bank,Jinneng Holding Group Co Ltd,China,China,10174482164.42526,China,China
508,Industrial Bank,Jizhong Energy Group Co Ltd,China,China,3905712945.5,China,China
509,Industrial Bank,Kailuan Group Ltd Liability Corp,China,China,42692100.0,China,China
510,Industrial Bank,Lu'an Chemical Group Co Ltd,China,China,408043110.15,China,China
511,Industrial Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,2092856805.821134,China,China
512,Industrial Bank,Shaanxi Investment Group Co Ltd,China,China,502022145.0,China,China
513,Industrial Bank,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,8689577656.773602,China,China
514,Industrial Bank,Shandong Energy Co Ltd,China,China,2539740322.051234,China,China
515,Industrial Bank,Shanxi Coking Coal Group Co Ltd,China,China,450502143.3322518,China,China
516,Industrial Bank,Shenergy Group Co Ltd,China,China,162305237.3030824,China,China
517,Industrial Bank,State Grid Corp of China,China,China,2308894875.0,China,China
518,Industrial Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,China,China,300096462.1242527,China,China
519,Industrial Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,45454545.0,China,China
520,Intesa Sanpaolo,Adani Group,Italy,India,35524842.61989594,Europe,Asia
521,Intesa Sanpaolo,Bulgarian Energy Holding EAD,Italy,Bulgaria,68773892.0,Europe,Europe
522,Intesa Sanpaolo,Gazprom PJSC,Italy,Russia,974710443.6,Europe,Europe
523,Intesa Sanpaolo,Glencore PLC,Italy,Switzerland,39741920.0,Europe,Europe
524,Intesa Sanpaolo,Repsol SA,Italy,Spain,54479000.0,Europe,Europe
525,Intesa Sanpaolo,TotalEnergies SE,Italy,France,873879325.0,Europe,Europe
526,JPMorgan Chase,Adani Group,United States,India,175509465.9492292,United States,Asia
527,JPMorgan Chase,Alliance Resource Partners LP,United States,United States,348920833.0,United States,United States
528,JPMorgan Chase,BHP Group Ltd,United States,Australia,60357142.88,United States,Oceania
529,JPMorgan Chase,Bulgarian Energy Holding EAD,United States,Bulgaria,149364093.2,United States,Europe
530,JPMorgan Chase,Chevron Corp,United States,United States,4659453457.0,United States,United States
531,JPMorgan Chase,China Huadian Corp Ltd,United States,China,72450170.49,United States,China
532,JPMorgan Chase,China Huaneng Group Co Ltd,United States,China,148888656.219359,United States,China
533,JPMorgan Chase,China National Petroleum Corporation (CNPC),United States,China,133333333.0,United States,China
534,JPMorgan Chase,ConocoPhillips,United States,United States,4514646127.0,United States,United States
535,JPMorgan Chase,Delek Group Ltd,United States,Israel,1124811865.05,United States,Asia
536,JPMorgan Chase,Equinor ASA,United States,Norway,2450420275.721993,United States,Europe
537,JPMorgan Chase,Evraz PLC,United States,United Kingdom,891381.8828253389,United States,Europe
538,JPMorgan Chase,Exxon Mobil Corp,United States,United States,15330564109.0,United States,United States
539,JPMorgan Chase,Gazprom PJSC,United States,Russia,4588553791.545782,United States,Europe
540,JPMorgan Chase,Glencore PLC,United States,Switzerland,676658307.2041324,United States,Europe
541,JPMorgan Chase,Guangdong Hengjian Investment Holding Co Ltd,United States,China,3098346.392008993,United States,China
542,JPMorgan Chase,Harbour Energy PLC,United States,United Kingdom,38461538.0,United States,Europe
543,JPMorgan Chase,Hess Corporation,United States,United States,3528035714.0,United States,United States
544,JPMorgan Chase,ITOCHU Corp,United States,Japan,23479479.78,United States,Asia
545,JPMorgan Chase,Indika Energy Tbk PT,United States,Indonesia,130912807.191375,United States,Asia
546,JPMorgan Chase,Inpex Corp,United States,Japan,46000000.0,United States,Asia
547,JPMorgan Chase,Kuwait Petroleum Corp,United States,Kuwait,142857143.0,United States,Asia
548,JPMorgan Chase,Mitsubishi Corp,United States,Japan,143154166.5335862,United States,Asia
549,JPMorgan Chase,Occidental Petroleum Corp,United States,United States,8128075841.309839,United States,United States
550,JPMorgan Chase,PPL Corp,United States,United States,1976802679.874294,United States,United States
551,JPMorgan Chase,Peabody Energy Corp,United States,United States,1058041667.0,United States,United States
552,JPMorgan Chase,Petróleo Brasileiro SA – Petrobras,United States,Brazil,4493171709.783329,United States,South America
553,JPMorgan Chase,Petróleos Mexicanos (PEMEX),United States,Mexico,6044869770.260682,United States,North America
554,JPMorgan Chase,QatarEnergy,United States,Qatar,1744444445.0,United States,Asia
555,JPMorgan Chase,Repsol SA,United States,Spain,471057380.9324411,United States,Europe
556,JPMorgan Chase,Shandong Energy Co Ltd,United States,China,378329916.7560707,United States,China
557,JPMorgan Chase,Shell PLC,United States,United Kingdom,5240341428.9,United States,Europe
558,JPMorgan Chase,State Grid Corp of China,United States,China,360511278.1752198,United States,China
559,JPMorgan Chase,Teck Resources Ltd,United States,Canada,4089249916.8389,United States,North America
560,JPMorgan Chase,TotalEnergies SE,United States,France,2740681237.912616,United States,Europe
561,KB Financial,POSCO Holdings Inc,"Korea, Republic of",South Korea,407497183.8758748,Asia,Asia
562,Lloyds,Delek Group Ltd,United Kingdom,Israel,78066207.828125,Europe,Asia
563,Lloyds,Harbour Energy PLC,United Kingdom,United Kingdom,1304070538.0,Europe,Europe
564,Lloyds,Shell PLC,United Kingdom,United Kingdom,720377500.0,Europe,Europe
565,MUFG,Adani Group,Japan,India,304874706.3192255,Asia,Asia
566,MUFG,BHP Group Ltd,Japan,Australia,60357142.88,Asia,Oceania
567,MUFG,Chevron Corp,Japan,United States,3382343084.0,Asia,United States
568,MUFG,China Energy Investment Corp Ltd,Japan,China,3255830.117296706,Asia,China
569,MUFG,ConocoPhillips,Japan,United States,1642207793.0,Asia,United States
570,MUFG,Equinor ASA,Japan,Norway,298899358.7219936,Asia,Europe
571,MUFG,Gazprom PJSC,Japan,Russia,200000000.0,Asia,Europe
572,MUFG,Glencore PLC,Japan,Switzerland,596967625.7381366,Asia,Europe
573,MUFG,Hess Corporation,Japan,United States,2904285714.0,Asia,United States
574,MUFG,ITOCHU Corp,Japan,Japan,44166668.0,Asia,Asia
575,MUFG,Indonesia Asahan Aluminium Persero PT,Japan,Indonesia,275710577.1930302,Asia,Asia
576,MUFG,Inpex Corp,Japan,Japan,1630675000.0,Asia,Asia
577,MUFG,Mitsubishi Corp,Japan,Japan,96923843.55327807,Asia,Asia
578,MUFG,NTPC Ltd,Japan,India,500654016.42,Asia,Asia
579,MUFG,Occidental Petroleum Corp,Japan,United States,4709007199.161045,Asia,United States
580,MUFG,PPL Corp,Japan,United States,409316354.886947,Asia,United States
581,MUFG,Pertamina Persero PT,Japan,Indonesia,913492062.0,Asia,Asia
582,MUFG,Petróleo Brasileiro SA – Petrobras,Japan,Brazil,1035631966.314887,Asia,South America
583,MUFG,Petróleos Mexicanos (PEMEX),Japan,Mexico,2241869769.470682,Asia,North America
584,MUFG,QatarEnergy,Japan,Qatar,944444445.0,Asia,Asia
585,MUFG,Repsol SA,Japan,Spain,279480316.5009561,Asia,Europe
586,MUFG,Sojitz Corp,Japan,Japan,5707647.537809568,Asia,Asia
587,MUFG,State Grid Corp of China,Japan,China,150155679.1043932,Asia,China
588,MUFG,TotalEnergies SE,Japan,France,1270338115.590372,Asia,Europe
589,Mizuho,Adani Group,Japan,India,210093693.7031887,Asia,Asia
590,Mizuho,BHP Group Ltd,Japan,Australia,60357142.88,Asia,Oceania
591,Mizuho,Chevron Corp,Japan,United States,1815677083.0,Asia,United States
592,Mizuho,China Huadian Corp Ltd,Japan,China,82437978.43777198,Asia,China
593,Mizuho,China Huaneng Group Co Ltd,Japan,China,148888656.219359,Asia,China
594,Mizuho,China National Petroleum Corporation (CNPC),Japan,China,133333333.0,Asia,China
595,Mizuho,ConocoPhillips,Japan,United States,1788636364.0,Asia,United States
596,Mizuho,Equinor ASA,Japan,Norway,881902358.7219937,Asia,Europe
597,Mizuho,Exxon Mobil Corp,Japan,United States,1111111111.0,Asia,United States
598,Mizuho,Gazprom PJSC,Japan,Russia,565447168.4964318,Asia,Europe
599,Mizuho,Glencore PLC,Japan,Switzerland,591947222.6861026,Asia,Europe
600,Mizuho,Hess Corporation,Japan,United States,2904285714.0,Asia,United States
601,Mizuho,ITOCHU Corp,Japan,Japan,23479479.78,Asia,Asia
602,Mizuho,Inpex Corp,Japan,Japan,1156946500.0,Asia,Asia
603,Mizuho,Mitsubishi Corp,Japan,Japan,228937103.1285436,Asia,Asia
604,Mizuho,NTPC Ltd,Japan,India,271161426.72,Asia,Asia
605,Mizuho,Occidental Petroleum Corp,Japan,United States,1784548888.802356,Asia,United States
606,Mizuho,POSCO Holdings Inc,Japan,South Korea,50910847.73752309,Asia,Asia
607,Mizuho,PPL Corp,Japan,United States,1374563764.491241,Asia,United States
608,Mizuho,Pertamina Persero PT,Japan,Indonesia,1527896825.0,Asia,Asia
609,Mizuho,Petróleo Brasileiro SA – Petrobras,Japan,Brazil,2461729603.18335,Asia,South America
610,Mizuho,Petróleos Mexicanos (PEMEX),Japan,Mexico,3994588943.77546,Asia,North America
611,Mizuho,Repsol SA,Japan,Spain,254775451.7208413,Asia,Europe
612,Mizuho,Shell PLC,Japan,United Kingdom,688000000.0,Asia,Europe
613,Mizuho,Sojitz Corp,Japan,Japan,38721647.42060851,Asia,Asia
614,Mizuho,State Grid Corp of China,Japan,China,1419193337.528813,Asia,China
615,Mizuho,Teck Resources Ltd,Japan,Canada,160177000.0,Asia,North America
616,Mizuho,TotalEnergies SE,Japan,France,1266273972.299336,Asia,Europe
617,Morgan Stanley,Arch Resources Inc,United States,United States,128178572.0,United States,United States
618,Morgan Stanley,Bayan Resources Tbk PT,United States,Indonesia,200000000.0,United States,Asia
619,Morgan Stanley,Chevron Corp,United States,United States,618181803.0,United States,United States
620,Morgan Stanley,China Datang Corp,United States,China,190489566.522387,United States,China
621,Morgan Stanley,China Energy Investment Corp Ltd,United States,China,267157909.9802716,United States,China
622,Morgan Stanley,China Huadian Corp Ltd,United States,China,297410129.0725936,United States,China
623,Morgan Stanley,ConocoPhillips,United States,United States,228571429.0,United States,United States
624,Morgan Stanley,Delek Group Ltd,United States,Israel,137808057.828125,United States,Asia
625,Morgan Stanley,Equinor ASA,United States,Norway,548899358.7219937,United States,Europe
626,Morgan Stanley,Exxon Mobil Corp,United States,United States,9444444443.0,United States,United States
627,Morgan Stanley,Glencore PLC,United States,Switzerland,560658284.250751,United States,Europe
628,Morgan Stanley,Hess Corporation,United States,United States,3278035714.0,United States,United States
629,Morgan Stanley,Inpex Corp,United States,Japan,46071500.0,United States,Asia
630,Morgan Stanley,Mitsubishi Corp,United States,Japan,255498956.1162321,United States,Asia
631,Morgan Stanley,Occidental Petroleum Corp,United States,United States,428571428.0,United States,United States
632,Morgan Stanley,PPL Corp,United States,United States,472000270.27,United States,United States
633,Morgan Stanley,Petróleo Brasileiro SA – Petrobras,United States,Brazil,2178084158.017233,United States,South America
634,Morgan Stanley,Petróleos Mexicanos (PEMEX),United States,Mexico,1644253129.340682,United States,North America
635,Morgan Stanley,Repsol SA,United States,Spain,1304210538.255577,United States,Europe
636,Morgan Stanley,Shandong Energy Co Ltd,United States,China,377107595.0,United States,China
637,Morgan Stanley,Shell PLC,United States,United Kingdom,7299931251.0,United States,Europe
638,Morgan Stanley,Sojitz Corp,United States,Japan,55068964.35097651,United States,Asia
639,Morgan Stanley,State Grid Corp of China,United States,China,560809509.6198738,United States,China
640,Morgan Stanley,Teck Resources Ltd,United States,Canada,53822916.83890001,United States,North America
641,Morgan Stanley,Thungela Resources Ltd,United States,South Africa,51923907.0,United States,Africa
642,Morgan Stanley,TotalEnergies SE,United States,France,2196026933.252307,United States,Europe
643,NAB,BHP Group Ltd,Australia,Australia,60357142.88,Oceania,Oceania
644,NAB,Glencore PLC,Australia,Switzerland,490060520.8671066,Oceania,Europe
645,NAB,ITOCHU Corp,Australia,Japan,44166668.0,Oceania,Asia
646,NAB,State Grid Corp of China,Australia,China,122620993.0475166,Oceania,China
647,NatWest,Delek Group Ltd,United Kingdom,Israel,78066207.828125,Europe,Asia
648,NatWest,Glencore PLC,United Kingdom,Switzerland,553258517.9168749,Europe,Europe
649,NatWest,Harbour Energy PLC,United Kingdom,United Kingdom,140609000.0,Europe,Europe
650,NatWest,Mitsubishi Corp,United Kingdom,Japan,22675740.0,Europe,Asia
651,NatWest,PPL Corp,United Kingdom,United States,94500270.0,Europe,United States
652,NatWest,Repsol SA,United Kingdom,Spain,388595639.7386871,Europe,Europe
653,NatWest,TotalEnergies SE,United Kingdom,France,170296302.6213821,Europe,Europe
654,Nordea Bank,Equinor ASA,Finland,Norway,298899358.7219936,Europe,Europe
655,PNC,Alliance Resource Partners LP,United States,United States,91900000.0,United States,United States
656,PNC,Arch Resources Inc,United States,United States,128178572.0,United States,United States
657,PNC,Chevron Corp,United States,United States,300000000.0,United States,United States
