,Bank,Company,Grand Total,Amount
770,Société Générale,Inpex Corp,Grand Total,1820444230.0
771,Société Générale,Glencore PLC,Grand Total,785621278.0953401
772,Société Générale,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
773,Société Générale,Pertamina Persero PT,Grand Total,271428571.0
774,Société Générale,Equinor ASA,Grand Total,298899358.7219936
775,Société Générale,Occidental Petroleum Corp,Grand Total,4203548079.999838
776,Société Générale,Evraz PLC,Grand Total,198969.1696552875
777,Société Générale,Exxon Mobil Corp,Grand Total,5913897444.0
778,Société Générale,Petróleos Mexicanos (PEMEX),Grand Total,1240496100.0
779,Société Générale,Repsol SA,Grand Total,390326084.3467177
780,Société Générale,Rosneftegaz AO,Grand Total,500000000.0
781,Société Générale,Chevron Corp,Grand Total,1189610373.0
782,Société Générale,Shell PLC,Grand Total,388000000.0
783,Société Générale,Kuwait Petroleum Corp,Grand Total,509523810.0
784,Société Générale,Adani Group,Grand Total,97786293.00157532
785,Société Générale,Mitsubishi Corp,Grand Total,22675740.0
786,Standard Chartered,Glencore PLC,Grand Total,587899082.1651745
787,Standard Chartered,China Huadian Corp Ltd,Grand Total,45454545.0
788,Standard Chartered,China Huaneng Group Co Ltd,Grand Total,77500000.0
789,Standard Chartered,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
790,Standard Chartered,Pertamina Persero PT,Grand Total,525000000.0
791,Standard Chartered,China Energy Investment Corp Ltd,Grand Total,3255830.117296706
792,Standard Chartered,NTPC Ltd,Grand Total,306892589.7
793,Standard Chartered,POSCO Holdings Inc,Grand Total,182600240.5519161
794,Standard Chartered,Equinor ASA,Grand Total,298899358.7219936
795,Standard Chartered,TotalEnergies SE,Grand Total,244866917.4445396
796,Standard Chartered,Indian Oil Corp Ltd,Grand Total,178200000.0
797,Standard Chartered,Petróleo Brasileiro SA – Petrobras,Grand Total,914213736.4094404
798,Standard Chartered,Indika Energy Tbk PT,Grand Total,506360858.004375
799,Standard Chartered,Indonesia Asahan Aluminium Persero PT,Grand Total,275710577.1930302
800,Standard Chartered,Shandong Energy Co Ltd,Grand Total,83005837.66810845
801,Standard Chartered,Shell PLC,Grand Total,888000000.0
802,Standard Chartered,Zhejiang Provincial Energy Group Co Ltd,Grand Total,95454545.0
803,Standard Chartered,Adani Group,Grand Total,627240257.4666744
804,State Bank of India,NTPC Ltd,Grand Total,1001472806.315373
805,State Bank of India,Coal India Ltd,Grand Total,307630608.0
806,State Bank of India,Indian Oil Corp Ltd,Grand Total,1418103323.79
807,State Bank of India,Reliance Power Ltd,Grand Total,1654607088.0
808,State Bank of India,Adani Group,Grand Total,116396788.5922057
809,TD,ConocoPhillips,Grand Total,3013636364.0
810,TD,Glencore PLC,Grand Total,564006689.8483073
811,TD,Teck Resources Ltd,Grand Total,363842916.8389001
812,TD,Chevron Corp,Grand Total,350000000.0
813,TD,PPL Corp,Grand Total,97200000.0
814,TD,Shell PLC,Grand Total,388000000.0
815,TD,Occidental Petroleum Corp,Grand Total,356000000.0
816,UBS,Glencore PLC,Grand Total,684976600.197411
817,UBS,State Grid Corp of China,Grand Total,325804354.8091742
818,UBS,China Energy Investment Corp Ltd,Grand Total,616723262.7255244
819,UBS,Pertamina Persero PT,Grand Total,104166667.0
820,UBS,Shell PLC,Grand Total,1138000000.0
821,UBS,China Huadian Corp Ltd,Grand Total,765399846.3461423
822,UBS,China National Petroleum Corporation (CNPC),Grand Total,307669333.0
823,UBS,Adani Group,Grand Total,49809160.30534352
824,UBS,Petróleo Brasileiro SA – Petrobras,Grand Total,565424293.2968892
825,UBS,BHP Group Ltd,Grand Total,60357142.88
826,UBS,Petróleos Mexicanos (PEMEX),Grand Total,637932320.0
827,UBS,Evraz PLC,Grand Total,319469.0975300091
828,UBS,Repsol SA,Grand Total,133820188.0178458
829,UBS,Gazprom PJSC,Grand Total,602964163.2456094
830,UBS,TotalEnergies SE,Grand Total,289506257.4796163
831,UniCredit,Gazprom PJSC,Grand Total,2428222105.825814
832,UniCredit,Glencore PLC,Grand Total,496299998.3515427
833,UniCredit,Repsol SA,Grand Total,304942944.9859783
834,UniCredit,TotalEnergies SE,Grand Total,900828333.9697838
835,US Bancorp,PPL Corp,Grand Total,759272095.2033747
836,US Bancorp,Occidental Petroleum Corp,Grand Total,236437246.9635628
837,Wells Fargo,ConocoPhillips,Grand Total,2675541127.0
838,Wells Fargo,Harbour Energy PLC,Grand Total,38461538.0
839,Wells Fargo,Chevron Corp,Grand Total,1417191554.0
840,Wells Fargo,Alliance Resource Partners LP,Grand Total,257020833.0
841,Wells Fargo,PPL Corp,Grand Total,1516385179.604294
842,Wells Fargo,Shell PLC,Grand Total,1742590001.0
843,Wells Fargo,Delek Group Ltd,Grand Total,78066207.828125
844,Wells Fargo,Occidental Petroleum Corp,Grand Total,5696285841.309837
845,Westpac,Inpex Corp,Grand Total,521769230.0
846,Westpac,State Grid Corp of China,Grand Total,247360194.8455613
847,Westpac,BHP Group Ltd,Grand Total,60357142.88
848,Westpac,Indian Oil Corp Ltd,Grand Total,1019700000.0
