,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
107,True,Changcheng No.3 Coal Mine,Others,30.0,1.12311012,0.336933036,,
108,True,Changcheng No.3 Coal Mine,State Grid Corp of China,10.0,1.12311012,0.11231101199999999,State Grid Corp of China,China
109,True,Changcheng No.3 Coal Mine,Others,1.0,1.12311012,0.0112311012,,
110,True,Changcheng No.3 Coal Mine,Shandong Energy Co Ltd,43.0,1.12311012,0.48293735159999995,Shandong Energy Co Ltd,China
111,False,Changqing,No informations on company,100.0,4.939920283,4.939920283,,
112,True,Chirodzi Coal Mine,Jindal Group,100.0,2.928816,2.928816,Jindal Group,India
113,False,Christina Lake,No informations on company,100.0,1.232128944,1.232128944,,
114,True,Chukchi Sea Offshore,New project,100.0,2.539277487,2.539277487,,
115,True,Collingham Shale,Africa Energy Corp.,5.2,1.849888206,0.096194186712,Africa Energy Corp.,Canada
116,True,Collingham Shale,Canadian Natural Resources Limited,21.1,1.849888206,0.390326411466,Canadian Natural Resources Limited,Canada
117,True,Collingham Shale,QatarEnergy,26.3,1.849888206,0.48652059817800003,QatarEnergy,Qatar
118,True,Collingham Shale,TotalEnergies SE,47.4,1.849888206,0.876847009644,TotalEnergies SE,France
119,False,Cumberland Coal Mine,Contura Energy,100.0,1.89396768,1.89396768,Contura Energy,United States
120,False,DJ Basin Tight Oil,No informations on company,100.0,5.852116216,5.852116216,,
121,False,Dafosi Coal Mine,Binxian Coal Company,5.0,1.360020116,0.0680010058,Binxian Coal Company,China
122,False,Dafosi Coal Mine,Others,33.0,1.360020116,0.44880663828,,
123,False,Dafosi Coal Mine,Shaanxi Investment Group Co Ltd,5.0,1.360020116,0.0680010058,Shaanxi Investment Group Co Ltd,China
124,False,Dafosi Coal Mine,Others,0.2000000000000028,1.360020116,0.0027200402320000376,,
125,False,Dafosi Coal Mine,Shaanxi Coal and Chemical Industry Group Co Ltd,56.8,1.360020116,0.772491425888,Shaanxi Coal and Chemical Industry Group Co Ltd,China
126,True,Dahaize Coal Mine,China Coal Xinji Energy Co Ltd,100.0,7.993471068,7.993471068,China Coal Xinji Energy Co Ltd,China
127,True,Dalaihushuo Coal Mine,Fude Life Insurance Company,20.0,2.875609176,0.5751218352,Fude Life Insurance Company,China
128,True,Dalaihushuo Coal Mine,Tibet Hengyisheng Investment Company,39.0,2.875609176,1.12148757864,Tibet Hengyisheng Investment Company,China
129,True,Dalaihushuo Coal Mine,Jilin Province Coal Industry Group,41.0,2.875609176,1.1789997621600001,Jilin Province Coal Industry Group,China
130,False,Daliuta Coal Mine,HKSCC Nominees Limited,17.0,1.207160328,0.20521725576000002,HKSCC Nominees Limited,Hong Kong
131,False,Daliuta Coal Mine,Others,14.0,1.207160328,0.16900244592,,
132,False,Daliuta Coal Mine,China Energy Investment Corp Ltd,69.0,1.207160328,0.8329406263200001,China Energy Investment Corp Ltd,China
133,True,Dananhu No. 7 Coal Mine,China Chengtong Holdings Group,20.0,3.63173184,0.726346368,China Chengtong Holdings Group,China
134,True,Dananhu No. 7 Coal Mine,China Coal Xinji Energy Co Ltd,29.0,3.63173184,1.0532022336,China Coal Xinji Energy Co Ltd,China
135,True,Dananhu No. 7 Coal Mine,China Energy Investment Corp Ltd,15.0,3.63173184,0.544759776,China Energy Investment Corp Ltd,China
136,True,Dananhu No. 7 Coal Mine,China Reform Holdings Company,36.0,3.63173184,1.3074234623999998,China Reform Holdings Company,China
137,False,Dananhu No.1 Coal Mine,China Energy Investment Corp Ltd,100.0,7.16583648,7.16583648,China Energy Investment Corp Ltd,China
138,True,Dananhu West No.2 Coal Mine,China Energy Investment Corp Ltd,100.0,2.74804677,2.74804677,China Energy Investment Corp Ltd,China
139,False,Daqing,No informations on company,100.0,2.601815792,2.601815792,,
140,False,Dingji Coal Mine,China Cinda Asset Management,49.0,1.667325,0.81698925,China Cinda Asset Management,China
141,False,Dingji Coal Mine,Others,1.0,1.667325,0.01667325,,
142,False,Dingji Coal Mine,Huaihe Energy,50.0,1.667325,0.8336625,Huaihe Energy,China
143,False,Dipka Coal Mine,Coal India Ltd,100.0,1.1718525,1.1718525,Coal India Ltd,India
144,False,Dolphin,Mubadala Investment Company,51.0,1.550235876,0.7906202967599999,Mubadala Investment Company,United Arab Emirates
145,False,Dolphin,Occidental Petroleum Corp,24.5,1.550235876,0.37980778961999995,Occidental Petroleum Corp,United States
146,False,Dolphin,TotalEnergies SE,24.5,1.550235876,0.37980778961999995,TotalEnergies SE,France
147,False,Dongzhouyao Coal Mine,Jinneng Holding Group Co Ltd,100.0,2.152948235,2.152948235,Jinneng Holding Group Co Ltd,China
148,False,Dovletabad-Donmez,No informations on company,100.0,1.578094288,1.578094288,,
149,False,Duvernay,No informations on company,100.0,1.871369296,1.8713692960000001,,
150,True,East Natuna (x-Natuna D-Alpha),Harbour Energy PLC,20.0,2.158541118,0.43170822360000005,Harbour Energy PLC,United Kingdom
151,True,East Natuna (x-Natuna D-Alpha),Kuwait Petroleum Corp,20.0,2.158541118,0.43170822360000005,Kuwait Petroleum Corp,Kuwait
152,True,East Natuna (x-Natuna D-Alpha),Pertamina Persero PT,20.0,2.158541118,0.43170822360000005,Pertamina Persero PT,Indonesia
153,True,East Natuna (x-Natuna D-Alpha),PTT PLC,20.0,2.158541118,0.43170822360000005,PTT PLC,Thailand
154,True,East Natuna (x-Natuna D-Alpha),Petroliam Nasional Berhad,20.0,2.158541118,0.43170822360000005,Petroliam Nasional Berhad,Malaysia
155,False,Eastern Gas Program,No informations on company,100.0,4.274058366,4.274058366,,
156,False,El Descanso Coal Mine,Drummond Company,100.0,4.149156,4.149156,Drummond Company,United States
157,False,El Sharara,National Oil Corporation,66.7,1.00784607,0.6722333286900001,National Oil Corporation,Ghana
158,False,El Sharara,OMV Aktiengesellschaft,10.0,1.00784607,0.10078460700000001,OMV Aktiengesellschaft,Austria
159,False,El Sharara,Repsol SA,13.3,1.00784607,0.13404352731000002,Repsol SA,Spain
160,False,El Sharara,TotalEnergies SE,10.0,1.00784607,0.10078460700000001,TotalEnergies SE,France
161,False,Elegest Coal Mine,Tuva Energy Industrial Company,100.0,2.281434144,2.281434144,Tuva Energy Industrial Company,Russian Federation
162,True,Elga Coal Mine,A-Property,100.0,4.528609428,4.528609428,A-Property,Russian Federation
163,False,Ensham Coal Mine,LX International,15.0,1.31499396,0.197249094,LX International,"Korea, Republic of"
164,False,Ensham Coal Mine,Thungela Resources Ltd,85.0,1.31499396,1.117744866,Thungela Resources Ltd,South Africa
165,False,Erkovetskiy Coal Mine,Russian Coal,100.0,1.03891788,1.03891788,Russian Coal,Russian Federation
166,False,Fengjiata Coal Mine,Shaanxi Coal and Chemical Industry Group Co Ltd,34.0,1.18617048,0.4032979632,Shaanxi Coal and Chemical Industry Group Co Ltd,China
167,False,Fengjiata Coal Mine,Shaanxi Investment Group Co Ltd,66.0,1.18617048,0.7828725167999999,Shaanxi Investment Group Co Ltd,China
168,False,Fording River,Teck Resources Ltd,100.0,1.034808588,1.034808588,Teck Resources Ltd,Canada
169,True,GAM Coal Mine,Titan Infra Energy PT,50.0,1.31552652,0.65776326,Titan Infra Energy PT,Indonesia
