Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Shanxi Yulong Investment Group,,"0,181",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%8F%B3%E7%8E%89%E7%8E%89%E9%BE%99%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,99.15% natural person
Shanxi Dongyi Coal Electric Aluminum Group,,"0,176",,,Personne 4,1,,
Inner Mongolia Yingyuan Coal Transportation and Marketing Company,,"0,171",,,Personne 4,1,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E7%9B%88%E6%BA%90%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%8E%89%E5%B7%9D%E7%85%A4%E7%9F%BF,82% natural person
Sarda Energy and Minerals,,"0,171",,,Personne 4,1,https://www.gem.wiki/Binjkote_power_station,détenu 38.59% Chhattisgarh Investments Ltd et 7/33% Sarda Agriculture & Properties Pcv Ltd
Shanxi Tongzhou Coal and Coke Group,,"0,171",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%80%9A%E6%B4%B2%E9%9B%86%E5%9B%A2%E7%95%99%E7%A5%9E%E5%B3%AA%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,détenu 99.5% par natural persons
Guangda Holding Company,,"0,16966",,,Personne 4,1,https://www.gem.wiki/Hulunbuir_Baorixile_power_station,"70% Hangzhou Basai, le reste personne naturelle et unknown, n'apparait pas sur BOCC"
,,"0,16952",,,Personne 4,1,,
Shandong Zhongda Advanced Material Company,,"0,168",,,Personne 4,1,,
Shendong Tianlong Group,,"0,16785",,,Personne 4,1,,
Inner Mongolia Shengli Resource Group,,"0,16448",,,Personne 4,1,https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%AE%8F%E4%B8%B0%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%BA%A2%E6%A0%91%E6%A2%81%E7%85%A4%E7%9F%BF,détenu 40.45% par Labor Union Committéé of Inner Mongolia Shengli Resoiuces et 59/55% natural person
Bluenut Trading Ltd,,"0,164",,,Personne 4,1,https://www.gem.wiki/Arshanovsky_Coal_Mine,100% natural person
Guizhou Shuicheng Coal Mine Group,Province of Guizhou China,"0,16368",Province of Guizhou China,2,Personne 4,1,https://www.gem.wiki/Xincheng_Coal_Chemical_captive_power_station,62.43% Guizhou Provincial People's Government State-owned Assets Supervision and Administration commission
Anhui Xinji Coal and Electricity Group,China National Coal Group,"0,16261",China National Coal Group,2,Personne 4,1,https://www.investing.com/equities/xinji-energy-ownership?utm_source=chatgpt.com,31% Chuina national coal group corporaiton
Shenmu County State-Owned Asset Management Company,Shenmu City State-Owned Assets Operation,"0,16025",Shenmu City State-Owned Assets Operation,2,Personne 4,1,https://www.gem.wiki/Yulin_Shanghe_power_station,
Hong Kong Smartact Limited,,"0,16",,,Personne 4,1,,
American Metals and Coal International,,"0,15792",,,Personne 4,1,,
Ningxia Baofeng Group,,"0,15768",,,Personne 4,1,,
云南省投资控股集团有限公司,,"0,156",,,Personne 4,1,,
San Miguel Corporation,San Miguel,"0,327",San Miguel,3,Personne 4,1,,
Yidong Group,,"0,1525832",,,Personne 4,1,,
Shanghai Sunshine Investment Group,,"0,14749",,,Personne 4,1,,
Sasol Ltd,Sasol,"0,3",Sasol,3,Personne 4,1,,
Cathay Olympic Investment Company,,"0,147",,,Personne 4,1,,
JMS Mining Private,,"0,147",,,Personne 4,1,https://www.gem.wiki/Urtan_North_Coal_Mine,privately held
Menar,,"0,145",,,Personne 4,1,https://www.gem.wiki/Zululand_Anthracite_Colliery,privately held
Trade Union Committee,,"0,14256",,,Personne 4,1,https://www.gem.wiki/Prokopyevsky_Coal_Mine,"détenu par Biznes-Aktiv LLC et KEVRZ LLC, pas dans la liste"
MelTEK LLC,,"0,142",,,Personne 4,1,,
Hongchuang [Shenzhen] Investment Center,,"0,1416",,,Personne 4,1,https://www.gem.wiki/%E6%96%B0%E7%96%86%E5%AE%9C%E5%8C%96%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%96%B0%E7%96%86%E4%BA%94%E5%BD%A9%E6%B9%BE%E7%9F%BF%E5%8C%BA%E4%B8%80%E5%8F%B7%E9%9C%B2%E5%A4%A9%E7%9F%BF,détenu par state-onwed assets supervision and adminitratios commission of yichang municipas peopole's government
Yichang Xinfa Industry Investment Company,,"0,1389",,,Personne 4,1,,
Shaanxi Investment Group,Shaanxi Investment Group,"7,25041",Shaanxi Investment Group,3,Personne 4,1,,
PT Widyanusa Mandiri,,"0,133",,,Personne 4,1,,
Shaanxi Yanchang Petroleum Group,Shaanxi Yanchang Petroleum Group,"7,86388",Shaanxi Yanchang Petroleum Group,3,Personne 4,1,,
Yan’an Energy & Chemical Group,,"0,13056",,,Personne 4,1,https://www.gem.wiki/Yan%27an_Thermal_power_station,"Yan'an Municipal People's Government State-owned Assets
Supervision and Administration Commission"
Shanghai Zhixin Electric Company,State Grid of China,"0,12625",State Grid of China,3,Personne 4,1,https://www.linkedin.com/company/shanghai-zhixin-electric-co-ltd-/,
Paladar Trading Ltd,,"0,125",,,Personne 4,1,https://find-and-update.company-information.service.gov.uk/company/12218702/persons-with-significant-control,75% or more owned by Mr. Gareth William Sharp
Shaanxi Yulin Energy Group,Shaanxi Yulin Energy Group,"9,6936",Shaanxi Yulin Energy Group,3,Personne 4,1,,
Thungela Resources Ltd,,"0,124",,,Personne 4,1,https://www.investing.com/equities/thungela-resources-jse-ownership,"15.6% South African Government Employees Pension Fund, 11.07% Plublic investment corporation limites, 5.33% Allan Gray Proprietary Ltf, 4.48M JPMorgan Chase & Co, etc"
Erdos Chunhui Forest Company,Inner Mongolia Energy Group,"0,12336",Inner Mongolia Energy Group,1,Personne 4,1,https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%AE%8F%E4%B8%B0%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%BA%A2%E6%A0%91%E6%A2%81%E7%85%A4%E7%9F%BF,Erdos Chunhui fait partie de Inner Mongolia Energy Power Generation Investment Group Co Ltd
Shandong Energy,Shandong Energy Group,"20,72540182",Shandong Energy Group,3,Personne 4,1,,
Junggar Juli Cultivation Company,,"0,12336",,,Personne 4,1,,
West Bengal Power Development Corporation Limited [WBPDCL],,"0,12",,,Personne 4,1,https://www.gem.wiki/Sagardighi_Thermal_Power_Station,100% owned by State of West Bengal
Jameson Resources Ltd,,"0,11856",,,Personne 4,1,https://www.investing.com/equities/jameson-resources-ltd-ownership,"n'apparait pas dans la liste BOCC, 11% Pure Gold Pty, 8.33% Crocodile Capital Partners GmbH,e tc"
Dongyi International Group,,"0,11826",,,Personne 4,1,,
Langfang Heyuan Investment Center,,"0,11328",,,Personne 4,1,,
Ruoqiang Jiuxin Silicon Industry Company,,"0,112",,,Personne 4,1,https://www.gem.wiki/%E8%8B%A5%E7%BE%8C%E5%8E%BF%E9%98%B3%E5%85%89%E7%85%A4%E7%9F%BF%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,100% natural person
State Grid of China,State Grid of China,"0,1089",State Grid of China,3,Personne 4,1,,
Shanxi Yuehua Xingsheng Energy Investment Company,,"0,10824",,,Personne 4,1,,
Xinglonggou Village Committee,,"0,10824",,,Personne 4,1,,
PT Agata Nugraha Nastari,,"0,1075",,,Personne 4,1,,natural persons
J Power,Mitsubishi,"0,1065",Mitsubishi,1,Personne 4,1,https://www.gem.wiki/J-POWER_Tachibana-wan_power_station,"sur la liste BOCC il y a que mitsubishi qui détient un très petit pourcentage. Les autres: Nippon life insurance, small shareholders et natural persons"
Xinjiang Coal Trading Center Company,,"0,101",,,Personne 4,1,,
Baoqing County State Owned Esset Management Company,,"0,1006",,,Personne 4,1,,Baoqing County Finance Bureau 100%
Makhado Colliery Community Development Trust,,"0,1004",,,Personne 4,1,,
Shanghua Investment Company,,"0,10016",,,Personne 4,1,,
China Construction Bank,"China, People's Republic of (Government)","0,0994746","China, People's Republic of (Government)",,Personne 4,1,https://www.marketscreener.com/quote/stock/CHINA-CONSTRUCTION-BANK-C-6499911/company-shareholders/,
Hebei Weiyuan Group,,"0,09912",,,Personne 4,1,,
Hubei Yihua Chemical Company,,"0,09723",,,Personne 4,1,,
Shanxi Yujin Trading Company,,"0,09333",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E6%B2%81%E7%A7%80%E9%BE%99%E6%B9%BE%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%BE%99%E6%B9%BE%E7%85%A4%E7%9F%BF,100% natural persons
Jiuquan Iron and Steel Group,Gansu Provincial State-Owned Asset Investment Group,"0,09192",Gansu Provincial State-Owned Asset Investment Group,3,Personne 4,1,https://www.gem.wiki/Jisco-1_power_station,100%
China Huarong Asset Management Company,CITIC Group,"0,0912664",CITIC Group,3,Personne 4,1,https://www.investing.com/equities/china-huarong-asset-management-ownership,26%
China Qinghua Energy Group,,"0,09006",,,Personne 4,1,,
Shanghai Chengrui Investment Company,,"0,08538",,,Personne 4,1,,
Bengal Energy,,"0,085",,,Personne 4,1,https://www.marketscreener.com/quote/stock/BENGAL-ENERGY-LTD-1409062/company/,"Natural persons: 82% William Wheeler, Chayan Chakrabarty, Brian Moss"
Zuoyun Kaihao Industrial Company,,"0,08477",,,Personne 4,1,,
Henan Shenhuo Group,,"0,08448",,,Personne 4,1,,
Shanxi State-Owned Capital Investment Operation Company,Shanxi State-owned Capital Investment Operation,"0,4836",Shanxi State-owned Capital Investment Operation,1,Personne 4,1,,
Zhejiang Shenglong Industrial Company,,"0,08334",,,Personne 4,1,https://www.gem.wiki/%E6%96%B0%E7%96%86%E5%AE%9C%E5%8C%96%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%96%B0%E7%96%86%E4%BA%94%E5%BD%A9%E6%B9%BE%E7%9F%BF%E5%8C%BA%E4%B8%80%E5%8F%B7%E9%9C%B2%E5%A4%A9%E7%9F%BF,100% natural person
Government of Kyrgyzstan,,"0,083",,,Personne 4,1,,
Mbuyelo Coal,,"0,08195",,,Personne 4,1,https://www.gem.wiki/Welstand_Coal_Mine,"45% Africa coal partners, 54% unknown "
Erdos Chunhui,Inner Mongolia Energy Power Generation Investment Group Co Ltd. ,"0,078",Inner Mongolia Energy Power Generation Investment Group Co Ltd. ,1,Personne 4,1,,"L'entreprise Erdos n'a pas l'air d'apparaitre sur internet, peut être c'est une filiale ou subdivicion d'une organisation plus large. Sur le site de GEM ça apparait sur 5. Project Owner Information comme owner de 12%, ensuite sur l'Ownership tree le Inner Mongolia Energy power a aussi 12%"
Jiutai Energy,,"0,07766",,,Personne 4,1,,
Bathurst Resources Ltd,,"0,077",,,Personne 4,1,https://www.marketscreener.com/quote/stock/BATHURST-RESOURCES-LIMITE-13920675/company-shareholders/,
Yingda International Trust Company,State Grid of China,"0,077",State Grid of China,3,Personne 4,1,https://en.wikipedia.org/wiki/Yingda_International_Trust,
Xue Feng,,"0,07644",,,Personne 4,1,,
Shenmu Coal Company,,"0,0756",,,Personne 4,1,,
Yulin Yuyang Coal Company,,"0,0756",,,Personne 4,1,https://www.gem.wiki/%E6%A6%86%E6%9E%97%E5%B8%82%E6%A6%86%E9%98%B3%E5%8C%BA%E6%96%B9%E5%AE%B6%E7%95%94%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,pas dans la liste BOCC
Ramaco Resources Inc,Yorktown Partners & Blackrock,"0,075",Yorktown Partners & Blackrock,3,Personne 4,1,https://www.investing.com/equities/ramaco-resources-inc-ownership,"19.15% Yorktown, 5/9% Blarckock"
Shanxi Xiangning Coking Coal Group,,"0,075",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E4%B9%A1%E5%AE%81%E7%84%A6%E7%85%A4%E9%9B%86%E5%9B%A2%E7%A5%9E%E8%A7%92%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,100% State-owned Assets Supervision and Administration Bureau of Xiangning County Government
OGK Management JSC,,"0,0748",,,Personne 4,1,https://www.gem.wiki/Syllakhsky_Coal_Mine,Legal Agency KB Egida LLC
Jiaxing Dejian Investment Partnership,,"0,073",,,Personne 4,1,,
Minerals Development Company Botswana,,"0,073",,,Personne 4,1,https://www.gem.wiki/Morupule_Coal_Mine,Government of Botswana
Shanxi Zezhou Tiantai Energy Company,,"0,073",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%B3%BD%E5%B7%9E%E5%A4%A9%E6%B3%B0%E5%B2%B3%E5%8D%97%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"Zezhou county industry and inforlmation technology bureau, shanxi provincial department of finance"
Xiangyuan Jinxin Investment Management Group,,"0,072",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E8%A5%84%E5%9E%A3%E9%87%91%E6%98%9F%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,natural person
Shenergy,Shenergy Group,"0,79196",Shenergy Group,1,Personne 4,1,,
Shenmu City State-Owned Assets Operation Company,Shenmu City State-Owned Assets Operation,"0,96768",Shenmu City State-Owned Assets Operation,1,Personne 4,1,,
Aditya Birla Group,,"0,071",,,Personne 4,1,,
Beijing Xinde Yuansheng Investment Company,,"0,0682",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%85%B0%E8%8A%B1%E7%A7%91%E5%88%9B%E7%8E%89%E6%BA%AA%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,100% natural person
Shanxi Xiangkuang Group,,"0,068",,,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E8%A5%84%E7%9F%BF%E6%99%8B%E5%B9%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,State-Owned Assets supervision and administration bureau of Xiangyuan county government
Binxian Coal Company,,"0,06795",,,Personne 4,1,,
China Minsheng Investment Company,,"0,06794",Aucune correspondance,,Personne 5,1,Cf. site web de la China Minsheng Bank https://en.cmbc.com.cn/,
Shougang Group,Shougang Group,"0,17406",,,,,,
Inner Mongolia Xinglong Energy Group,Inner Mongolia Energy Group ?,"0,06732",Inner Mongolia Energy Group ?,1,Personne 5,1,,
Ichor Coal NV,,"0,06705",Aucune correspondance,,Personne 5,1,,
Government of Uttar Pradesh,Coal India / Oil india ?,"0,06426",Coal India / Oil india ?,1,Personne 5,1,"https://en.wikipedia.org/wiki/Coal_India
https://en.wikipedia.org/wiki/Oil_India",Probablement une des compagnies nationale (détenue à 90%) si l'investisseur est l'état de l'Uttar Pradesh
AMCI,,"0,064",Aucune correspondance,1,Personne 5,1,https://amcigroup.com/,Site web en maintenance. Lien avec K-M Investment Corp mais aucune source fiable trouvée.
Riverstone,Talen ?,"0,064",Talen ?,1,Personne 5,1,"https://www.opensanctions.org/entities/gem-own-e100002015175/
https://www.riverstonerel.com/about/",Riverstone Energy Partners V détiendrait près de 20% de Talen. Lien de parenté inversé.
Xinjiang Kekedala State-Owned Capital Investment and Operation Company,Xinjiang Kokdala State Owned Asset Investment,"0,0637",Xinjiang Kokdala State Owned Asset Investment,2,Personne 5,1,,
Shanxi Juhuang Century Investment Company,Shaanxi Coal & Chemical Industry Group ?,"0,06222",Shaanxi Coal & Chemical Industry Group ?,1,Personne 5,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E6%B2%81%E7%A7%80%E9%BE%99%E6%B9%BE%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%BE%99%E6%B9%BE%E7%85%A4%E7%9F%BF,Entreprise d'état ou autofinancée ?
Sojitz,Sojitz,"3,4845",,,,,,
Semirara Mining and Power Corp,,"0,062",Aucune correspondance,1,Personne 5,1,https://www.opensanctions.org/entities/NK-dbKEmGkoSA7vFLJ3eMGRD9/,"Entreprise détenue à 57% par DMCI Holdings, elle-même détenue à plus de 50% par Dacon (Philippines)."
Inner Mongolia Shuangxin Energy Chemical Company,Autonomous Region of Inner Mongolia China,"0,06132",Autonomous Region of Inner Mongolia China,1,Personne 5,1,https://shuangxingroup.lookchem.com/,Entreprise d'état contrôlée via la région autonome de Mongolie intérierue ?
Salungano Group,,"0,061",Aucune correspondance,1,Personne 5,1,"https://www.gem.wiki/Vanggatfontein_Coal_Mine
https://www.opensanctions.org/entities/gem-own-e100000132165/",Entreprise sud-africaine déténue à plus de 50% par K2016316243 (SA) Pty Ltd
Shandong Guohui Investment Co Ltd,Shandong Energy Group,"0,0566",Shandong Energy Group,2,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000124585/,L'entreprise possède 20% de Shandong Energy Group et appartient à 100% à Shandong Provincial People's Government State-owned Assets Supervision and Administration Commission
State Grid Corporation of China,State Grid of China,"0,94235",,,,,,
Bowen Coking Coal,,"0,056",Aucune correspondance,1,Personne 5,1,"https://www.opensanctions.org/entities/gem-own-e100001010170/
https://www.gem.wiki/Comet_Ridge_Coal_Mine","Entreprise détenue par une dizaine d'entités (UBS, BNP, HSBC, Crocodile Capital, etc.) dont aucun ne figure dans la liste BOCC."
TalTEK JSC,,"0,056",Aucune correspondance,1,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000132266/,Entreprise russe d'état ?
Xinjiang Guanghui Industry Investment Group,Xin Jiang Guang Hui Industry Investment Group,"0,056",Xin Jiang Guang Hui Industry Investment Group,3,Personne 5,1,https://en.wikipedia.org/wiki/Xinjiang_Guanghui_Industry_Investment_Group,
Ruiqian Investment Development Company,,"0,055",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E5%A4%A7%E8%A5%BF%E5%8D%97%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E6%B2%99%E5%8E%BF%E6%96%B0%E5%8C%96%E4%B9%A1%E5%AE%89%E8%83%BD%E7%85%A4%E7%9F%BF,Entreprise détenue par un particulier ? (Natural Person à 100%) ou par l'état chinois ?
PT Atlas Resources,,"0,054",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/Citra_Global_Artha_Mine,"Entreprise détenue majoritairement par des petits porteurs, puis par la société PT Calorie Viva Utama, elle-même détenue à 99% par la société PT Artha Jasa Sentosa (Indonésie)"
Ordos Kaiyuan Investment Company,,"0,051",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%B1%87%E8%83%BD%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E5%B7%B4%E9%9A%86%E5%9B%BE%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Entreprise serait détenue à 98% par une personne physique.
Prakash Industries Limited,,"0,051",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/Bhaskarpara_Coal_Mine,Entreprise indienne détenue à 85% par des petits porteurs et à 15% par une personne physique.
China Securities Finance Corporation,,"0,05061",Aucune correspondance,1,Personne 5,1,"https://www.opensanctions.org/entities/gem-own-e100001000881/
https://en.wikipedia.org/wiki/China_Securities_Finance",Entreprise d'état détenue à travers 7 places de marché chinois
Bayannaoer Zhuoyue Building Materials Company,,"0,04962",Aucune correspondance,1,Personne 5,1,,Pas de source fiable
Shangqiu Oriental Investment Company,,"0,04928",Aucune correspondance,1,Personne 5,1,,Pas de source fiable
Guizhou Guoxing Mining Group,,"0,047",Aucune correspondance,1,Personne 5,1,,
Aurobindo Reality and Infrastructure,,"0,046",Aucune correspondance,1,Personne 5,1,,
Shanxi Yunze Energy Investment Group,,"0,04488",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%BF%BB%E5%B7%9E%E7%A5%9E%E8%BE%BE%E5%8D%93%E8%BE%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Probablement Shanxi Yunze Energy Technology Group. Groupe détenue par personne physique à 98%
Tianjin Energy Investment Group,Tianjin Energy Investment,"0,32158",,,,,,
Shanxi Yunze Energy Investment Group[,,"0,04312",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%BF%BB%E5%B7%9E%E7%A5%9E%E8%BE%BE%E5%8D%93%E8%BE%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Probablement Shanxi Yunze Energy Technology Group. Groupe détenue par personne physique à 98%
Fairmine Group,,"0,042",Aucune correspondance,1,Personne 5,1,"http://fairminegroup.com/About.html
https://www.gem.wiki/Rajhara_North-Central-Eastern_Coal_Mine",Groupe dont l'entité Fairmine Carbons Private Limited semble n'être détenue que par une personne physique.
Individuals,,"0,041796",Aucune correspondance,1,Personne 5,1,,
JAZ Ventures LLC,,"0,04136",Aucune correspondance,1,Personne 5,1,"https://www.opensanctions.org/entities/gem-own-e100000131722/
https://grconnect.com/coal100/ry2021/index.php?search=yes&company2=112&iframe=yes",Peu d'informations. Entreprise serait une LP et non une LLC.
Inner Mongolia Yongxin Asset Management Company,,"0,041",Aucune correspondance,1,Personne 5,1,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%80%A1%E5%92%8C%E8%81%9A%E6%BA%90%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Entreprise qui serait détenue à 99% par personne physique
Shanxi Yaxin Energy Group,,"0,03984",,,Personne 5,1,,
Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City,,"0,03883",,,Personne 5,1,,
Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company,,"0,0378",,,Personne 5,1,,
Erdos Jiuyuan Investment Company,,"0,0373",,,Personne 5,1,,
Huainan Industial Development Group,,"0,03626",,,Personne 5,1,,
Industrial Development Corporation of South Africa Ltd,,"0,033634",,,Personne 5,1,"https://www.idc.co.za/about-us/
https://www.opensanctions.org/entities/gem-own-e100001000576/",Détenue à 100% par le gouvernement sud-africain.
Bathurst Resources,,"0,03344",,,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100001016487/,Principalement détenue par fonds singapourien.
Monnet Global Limited,,"0,031",,,Personne 5,1,,
Inner Mongolia Shuntai Investment Company,,"0,0308",,,Personne 5,1,,
other,,"0,03012",,,Personne 5,,,
China Chengtong Holding Company,,"0,03",,,Personne 5,1,http://www.cctgroup.com.cn/cctgroupen/about_us/group_profile/index.html,Détenue par gouvernement chinois
Warrior Met Coal Inc,Warrior Met Coal,"0,184",,,,,,
Elektrani na Severna Makedonija AD,,"0,029",,,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000002049/,Détenue par gouvernement macédonien
Guizhou Xingweixing Energy Investment Company,,"0,029",,,Personne 5,1,,
Shandong Caixin Asset Operation Co Ltd,"Shandong, Province of","0,0283","Shandong, Province of",3,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000125675/,Probablement détenue par le gouvernement chinois
Whitehaven Coal Ltd,Whitehaven Coal,"0,534",,,,,,
Inner Mongolia Tianyu Innovation Investment Group,,"0,027",,,Personne 5,1,https://www.gem.wiki/%E4%B9%8C%E6%B5%B7%E5%B8%82%E6%B8%A9%E6%98%8E%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%8D%A1%E5%B8%83%E5%85%B6%E7%85%A4%E7%9F%BF,Détenue par personne physique
PT Lintas Timur Investama,,"0,0266",,,Personne 5,1,,
China Shipping,,"0,0259",,,Personne 5,1,,
内蒙古蒙兴投资集团有限公司,,"0,025",,,Personne 5,1,,
Sarda Energy And Minerals,,"0,024",,,Personne 5,1,https://www.gem.wiki/Binjkote_power_station,détenu 38.59% Chhattisgarh Investments Ltd et 7/33% Sarda Agriculture & Properties Pcv Ltd
Buffalo Coal Corp,,"0,0238",,,Personne 5,1,,
Shanxi Xinzhou Shenda Energy Group,,"0,02244",,,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000130276/,Probablement entreprise étatique. Détenue à 90% par Xinzhou Industry and Information Technology Bureau
SLS Group,,"0,022",,,Personne 5,1,https://www.gem.wiki/Andrea_Multi_Energy_Coal_Mine,Entreprise indonésienne probablement détenue à 100% par personne physique.
Fuqing Dihou Investment Partnership [General Partnership],,"0,021",,,Personne 5,1,https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E7%9C%81%E9%87%91%E6%B2%99%E5%8E%BF%E5%85%B4%E5%90%89%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%B8%9D%E5%8D%97%E7%85%A4%E7%9F%BF,Entreprise détenue par personne physique
Shanxi Xinxing Coal Power & Chemical Group,,"0,02065",,,Personne 5,1,,
Inner Mongolia Yidong Investment Group,,"0,02",,,Personne 5,1,https://www.gem.wiki/Inner_Mongolia_Yidong_Dongfang_captive_power_station,Propriétaire majoritaire inconnu
Changchun Jijun Trade Company,,"0,01996",,,Personne 5,1,,
Boulder Stone Mart,,"0,018",,,Personne 5,1,,
Lin Huiquan,,"0,0161392",,,Personne 5,1,,
U&D Mining Industry,,"0,016",,,Personne 5,1,,
Guohua Industry,,"0,01554",,,Personne 5,1,,
PT Arkara Wira Sanjaya,,"0,0154",,,Personne 5,1,,
Xuzhou Coal Mining Group,Xuzhou Coal Mining Group,"1,206",,,,,,
Shanxi Coal Transportation and Sales Group,,"0,01488",,,Personne 5,1,https://www.opensanctions.org/entities/gem-own-e100000126312/,Probablement détenue par le gouvernement à travers la Jinneng Holding Group
Xinzhou Coal Industry Bureau,,"0,01488",,,Personne 5,1,,
Su Zhenping,,"0,0132",,,Personne 5,1,,Personne physique ?
Shreesatya Mines Private Limited,,"0,013",,,Personne 5,1,,
Jiangsu Shagang Herun Energy Investment Company,,"0,012397",,,Personne 5,1,,
Yin Chengguo,,"0,0114",,,Personne 5,1,,Personne physique ?
Xinjiang Production and Construction Corps,,"0,0112",,,Personne 5,1,"https://www.opensanctions.org/entities/NK-hq8CwabGxiCtdKsUcqN5tA/
https://en.wikipedia.org/wiki/Xinjiang_Production_and_Construction_Corps",Entreprise d'état chinoise
South African Black Economic Empowerment,,"0,0102",,,Personne 5,1,https://en.wikipedia.org/wiki/Black_Economic_Empowerment,Détenue par l'état sud-africain ?
