Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Shanxi Zhongbo Real Estate Development Company,,"0,4296",,,Personne 3,,,
Government of Jharkand,Republic of India,"0,42874",Republic of India,2,Personne 3,,,jharkand = région d'Inde
Inner Mongolia Jarud Banner Xingta Mining Industry Company,,"0,42483",,,Personne 3,,,
Xinjiang Changyuan Water Group,,"0,42098",,,Personne 3,,,
Xinjiang Xinhua Hydropower Investment Company,,"0,42098",,,Personne 3,,,
Shanxi Lanhua Coal Industry Group,Shanxi Lanhua Sci-Tech Venture,"0,4030836",Shanxi Lanhua Sci-Tech Venture,,Personne 3,,https://basic.10jqka.com.cn/144/600123/company.html?,actionnaire majoritaire
Beijing Jingneng Power Company,,"0,40128",,,Personne 3,,,
Shanxi Yuedian Energy,,"0,40128",,,Personne 3,,,
China Cinda Asset Management,,"0,398672",,,Personne 3,,,
Beijing Energy Group,Beijing Energy International Holding,"0,39738",Beijing Energy International Holding,1,Personne 3,,,
Anhui Coal Geology Bureau,Anhui Province Energy Group,"0,3948",Anhui Province Energy Group,,Personne 3,,,
Malabar Resources,Malabar Resources,"0,376",,,,,,
Shanxi Dubao New Energy Group,,"0,394695",,,Personne 3,,,
Shanxi Tangrong Investment Company,,"0,394695",,,Personne 3,,,
Biyun Construction Investment of Zhijin Bijie,,"0,39066",,,Personne 3,,,
Yulin City Finance Investment Management Company,Yulin City Investment Operation Group,"0,3866",Yulin City Investment Operation Group,1,Personne 3,,,
Xinjiang Zhongtai Group,Xinjiang Prouince State-owned Assets Management Commission,"0,386",Xinjiang Prouince State-owned Assets Management Commission,2,Personne 3,,https://www.opensanctions.org/entities/NK-GoLDREfQPRXPSDPXaEriSX/,
Yulin City Yuyang District Energy Investment Company,Yulin City Investment Operation Group,"0,3846",Yulin City Investment Operation Group,1,Personne 3,,,
Coronado Global Resources Inc,Coronado Group,"0,383",Coronado Group,3,Personne 3,,,
Inner Mongolia Boyuan Holdings Group,,"0,37906",,,Personne 3,,,
Sinopec,China Petrochemical,"0,37534",China Petrochemical,3,Personne 3,,https://fr.wikipedia.org/wiki/Sinopec,nom complet : China Petroleum and Chemical Corporation
Mitsubishi Corporation,Mitsubishi,"3,918",,,,,,
PT Qinfa Mining Industri,,"0,3724",,,Personne 3,,,maison mère = Fortune Pearl International Limited mais pas trouvé en base
Shanxi Chuangrei New Energy Investment Company,,"0,3708",,,Personne 3,,,
Beijing Lirui Investment Company,,"0,3652",,,Personne 3,,,
NMDC,NMDC,"1,124928",,,,,,
NTPC,NTPC,"1,2447544",,,,,,
NTPC Ltd,NTPC,"0,86874",,,,,,
MH Natural Resources Private Limited,Adani Power,"0,363",Adani Power,2,Personne 3,,https://www.zaubacorp.com/MH-NATURAL-RESOURCES-PRIVATE-LIMITED-U14296GJ2019PTC109304,"l'entreprise est située à l'adresse de l'Adani Corporate House, donc dans les locaux d'Adani. Un des contact a un mail @adani "
Turpan Xinlong Mining Company,,"0,361",,,Personne 3,,,
Inner Mongolia Energy Power Generation Investment Group,,"0,359",,,Personne 3,,,
Aliot LLC,,"0,356",,,Personne 3,,,
Dalmia Cement Bharat Limited,,"0,354",,,Personne 3,,,
China National Tobacco Corporation,,"0,3465",,,Personne 3,,,
MC Mining LLC,,"0,33634",,,Personne 3,,,
Petrobangla,,"0,329",,,Personne 3,,,
Orissa Metallurgical Industry Private Limited,,"0,323",,,Personne 3,,https://www.gem.wiki/Khagra_Joydev_Coal_Mine,
Shenmu Taide Energy Investment Company,,"0,31705",,,Personne 3,,,
Razrez Yuzhny LLC,,"0,308",,,Personne 3,,https://www.opensanctions.org/entities/NK-Jenov4nGrVKqiNFcMPkbEQ/,
Ming Kei Energy Investment Company,,"0,3075",,,Personne 3,,,
Fugu State-Owned Asset Management and Operation Company,,"0,3024",,,Personne 3,,,
Holding Company Evolution JSC,,"0,2992",,,Personne 3,,,
Huanghe Hydropower Development Company,State Power Investment,"0,29274",State Power Investment,3,Personne 3,,https://www.google.com/search?q=Huanghe+Hydropower+Development+Company&sca_esv=7550878c098e0420&sxsrf=AE3TifOmEW6VBZ4Iv0HtnA5z51RqskD9ww%3A1757016616146&source=hp&ei=KPK5aPGBB4GmhbIPvaaHgAk&iflsig=AOw8s4IAAAAAaLoAOHuLpvcfMx3Rw7qcHCVBcuWW1rQ1&ved=0ahUKEwjxtZL69L-PAxUBU0EAHT3TAZAQ4dUDCBk&uact=5&oq=Huanghe+Hydropower+Development+Company&gs_lp=Egdnd3Mtd2l6IiZIdWFuZ2hlIEh5ZHJvcG93ZXIgRGV2ZWxvcG1lbnQgQ29tcGFueUheUABYAHAAeACQAQCYAQCgAQCqAQC4AQPIAQD4AQL4AQGYAgCgAgCYAwCSBwCgBwCyBwC4BwDCBwDIBwA&sclient=gws-wiz,maison mère = SPIC (State Power Investiment Corporation)
Qinghai Coal,,"0,29274",,,Personne 3,,,
