T14,Gross domestic product and gross domestic product per capita,,,,,
466,Mali,2020,GDP in current prices (millions of US dollars),"17,332",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP per capita (US dollars),296,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP per capita (US dollars),489,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP per capita (US dollars),710,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP per capita (US dollars),751,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP per capita (US dollars),895,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP per capita (US dollars),879,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP per capita (US dollars),856,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP in constant 2010 prices (millions of US dollars),"2,175",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP in constant 2010 prices (millions of US dollars),"5,328",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP in constant 2010 prices (millions of US dollars),"8,812",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP in constant 2010 prices (millions of US dollars),"13,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP in constant 2010 prices (millions of US dollars),"16,251",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP in constant 2010 prices (millions of US dollars),"17,274",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP in constant 2010 prices (millions of US dollars),"17,255",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,1995,GDP real rates of growth (percent),37.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2005,GDP real rates of growth (percent),10.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2010,GDP real rates of growth (percent),10.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2015,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2018,GDP real rates of growth (percent),6.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2019,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
466,Mali,2020,GDP real rates of growth (percent),-0.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,1995,GDP in current prices (millions of US dollars),"3,720",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2005,GDP in current prices (millions of US dollars),"6,406",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2010,GDP in current prices (millions of US dollars),"9,027",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2015,GDP in current prices (millions of US dollars),"11,087",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2018,GDP in current prices (millions of US dollars),"15,328",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2019,GDP in current prices (millions of US dollars),"15,726",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2020,GDP in current prices (millions of US dollars),"14,911",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,1995,GDP per capita (US dollars),"9,871",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2005,GDP per capita (US dollars),"15,830",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2010,GDP per capita (US dollars),"21,791",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2015,GDP per capita (US dollars),"25,572",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2018,GDP per capita (US dollars),"34,897",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2019,GDP per capita (US dollars),"35,711",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2020,GDP per capita (US dollars),"33,771",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,1995,GDP in constant 2010 prices (millions of US dollars),"5,220",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2005,GDP in constant 2010 prices (millions of US dollars),"7,320",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2010,GDP in constant 2010 prices (millions of US dollars),"8,518",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2015,GDP in constant 2010 prices (millions of US dollars),"11,087",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2018,GDP in constant 2010 prices (millions of US dollars),"13,553",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2019,GDP in constant 2010 prices (millions of US dollars),"14,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2020,GDP in constant 2010 prices (millions of US dollars),"13,142",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,1995,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2005,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2010,GDP real rates of growth (percent),5.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2015,GDP real rates of growth (percent),9.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2018,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2019,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
470,Malta,2020,GDP real rates of growth (percent),-8.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,1995,GDP in current prices (millions of US dollars),125,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2005,GDP in current prices (millions of US dollars),137,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2010,GDP in current prices (millions of US dollars),160,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2015,GDP in current prices (millions of US dollars),184,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2018,GDP in current prices (millions of US dollars),222,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2019,GDP in current prices (millions of US dollars),240,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2020,GDP in current prices (millions of US dollars),244,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,1995,GDP per capita (US dollars),"2,479",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2005,GDP per capita (US dollars),"2,471",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2010,GDP per capita (US dollars),"2,847",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2015,GDP per capita (US dollars),"3,208",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2018,GDP per capita (US dollars),"3,797",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2019,GDP per capita (US dollars),"4,076",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2020,GDP per capita (US dollars),"4,130",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,1995,GDP in constant 2010 prices (millions of US dollars),179,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2005,GDP in constant 2010 prices (millions of US dollars),170,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2010,GDP in constant 2010 prices (millions of US dollars),181,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2015,GDP in constant 2010 prices (millions of US dollars),184,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2018,GDP in constant 2010 prices (millions of US dollars),199,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2019,GDP in constant 2010 prices (millions of US dollars),212,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2020,GDP in constant 2010 prices (millions of US dollars),208,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,1995,GDP real rates of growth (percent),9.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2005,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2015,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2018,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2019,GDP real rates of growth (percent),6.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
584,Marshall Islands,2020,GDP real rates of growth (percent),-2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,1995,GDP in current prices (millions of US dollars),"2,371",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2005,GDP in current prices (millions of US dollars),"2,937",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2010,GDP in current prices (millions of US dollars),"5,629",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2015,GDP in current prices (millions of US dollars),"6,167",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2018,GDP in current prices (millions of US dollars),"7,353",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2019,GDP in current prices (millions of US dollars),"7,890",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2020,GDP in current prices (millions of US dollars),"7,916",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,1995,GDP per capita (US dollars),"1,025",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2005,GDP per capita (US dollars),971,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2010,GDP per capita (US dollars),"1,611",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2015,GDP per capita (US dollars),"1,524",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2018,GDP per capita (US dollars),"1,670",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2019,GDP per capita (US dollars),"1,743",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2020,GDP per capita (US dollars),"1,702",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,1995,GDP in constant 2010 prices (millions of US dollars),"3,139",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2005,GDP in constant 2010 prices (millions of US dollars),"4,169",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2010,GDP in constant 2010 prices (millions of US dollars),"4,951",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2015,GDP in constant 2010 prices (millions of US dollars),"6,167",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2018,GDP in constant 2010 prices (millions of US dollars),"6,600",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2019,GDP in constant 2010 prices (millions of US dollars),"6,980",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2020,GDP in constant 2010 prices (millions of US dollars),"6,857",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,1995,GDP real rates of growth (percent),-2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2005,GDP real rates of growth (percent),8.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2010,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2015,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2018,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2019,GDP real rates of growth (percent),5.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
478,Mauritania,2020,GDP real rates of growth (percent),-1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,1995,GDP in current prices (millions of US dollars),"4,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2005,GDP in current prices (millions of US dollars),"6,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2010,GDP in current prices (millions of US dollars),"10,004",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2015,GDP in current prices (millions of US dollars),"11,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2018,GDP in current prices (millions of US dollars),"14,182",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2019,GDP in current prices (millions of US dollars),"14,046",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2020,GDP in current prices (millions of US dollars),"10,921",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,1995,GDP per capita (US dollars),"3,786",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2005,GDP per capita (US dollars),"5,544",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2010,GDP per capita (US dollars),"8,016",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2015,GDP per capita (US dollars),"9,284",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2018,GDP per capita (US dollars),"11,192",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2019,GDP per capita (US dollars),"11,063",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2020,GDP per capita (US dollars),"8,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,1995,GDP in constant 2010 prices (millions of US dollars),"5,013",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2005,GDP in constant 2010 prices (millions of US dollars),"7,758",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2010,GDP in constant 2010 prices (millions of US dollars),"9,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2015,GDP in constant 2010 prices (millions of US dollars),"11,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2018,GDP in constant 2010 prices (millions of US dollars),"13,078",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2019,GDP in constant 2010 prices (millions of US dollars),"13,472",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2020,GDP in constant 2010 prices (millions of US dollars),"11,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2005,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2010,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2015,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2018,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2019,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
480,Mauritius,2020,GDP real rates of growth (percent),-14.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,1995,GDP in current prices (millions of US dollars),"360,073",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2005,GDP in current prices (millions of US dollars),"877,477",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2010,GDP in current prices (millions of US dollars),"1,057,801",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2015,GDP in current prices (millions of US dollars),"1,171,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2018,GDP in current prices (millions of US dollars),"1,222,346",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2019,GDP in current prices (millions of US dollars),"1,268,868",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2020,GDP in current prices (millions of US dollars),"1,073,439",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,1995,GDP per capita (US dollars),"3,928",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2005,GDP per capita (US dollars),"8,278",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2010,GDP per capita (US dollars),"9,271",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2015,GDP per capita (US dollars),"9,617",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2018,GDP per capita (US dollars),"9,686",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2019,GDP per capita (US dollars),"9,946",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2020,GDP per capita (US dollars),"8,326",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,1995,GDP in constant 2010 prices (millions of US dollars),"677,459",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2005,GDP in constant 2010 prices (millions of US dollars),"941,100",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2010,GDP in constant 2010 prices (millions of US dollars),"1,012,984",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2015,GDP in constant 2010 prices (millions of US dollars),"1,171,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2018,GDP in constant 2010 prices (millions of US dollars),"1,255,068",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2019,GDP in constant 2010 prices (millions of US dollars),"1,254,384",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2020,GDP in constant 2010 prices (millions of US dollars),"1,150,156",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,1995,GDP real rates of growth (percent),-6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2005,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2010,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2018,GDP real rates of growth (percent),2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2019,GDP real rates of growth (percent),-0.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
484,Mexico,2020,GDP real rates of growth (percent),-8.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
583,Micronesia (Fed. States of),1995,GDP in current prices (millions of US dollars),222,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
