T27,CO2 emission estimates,,,,,
360,Indonesia,1975,Emissions (thousand metric tons of carbon dioxide),"47,970",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,1985,Emissions (thousand metric tons of carbon dioxide),"96,535",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2005,Emissions (thousand metric tons of carbon dioxide),"336,464",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2010,Emissions (thousand metric tons of carbon dioxide),"409,899",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2015,Emissions (thousand metric tons of carbon dioxide),"473,971",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2017,Emissions (thousand metric tons of carbon dioxide),"495,909",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2018,Emissions (thousand metric tons of carbon dioxide),"551,434",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2019,Emissions (thousand metric tons of carbon dioxide),"596,296",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,1975,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,1985,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2005,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2010,Emissions per capita (metric tons of carbon dioxide),1.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2015,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2017,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2018,Emissions per capita (metric tons of carbon dioxide),2.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
360,Indonesia,2019,Emissions per capita (metric tons of carbon dioxide),2.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),1975,Emissions (thousand metric tons of carbon dioxide),"68,648",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),1985,Emissions (thousand metric tons of carbon dioxide),"146,421",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2005,Emissions (thousand metric tons of carbon dioxide),"421,593",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2010,Emissions (thousand metric tons of carbon dioxide),"503,021",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2015,Emissions (thousand metric tons of carbon dioxide),"560,800",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2017,Emissions (thousand metric tons of carbon dioxide),"579,688",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2018,Emissions (thousand metric tons of carbon dioxide),"591,385",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2019,Emissions (thousand metric tons of carbon dioxide),"588,647",Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),1975,Emissions per capita (metric tons of carbon dioxide),2.1,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),1985,Emissions per capita (metric tons of carbon dioxide),3.1,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2005,Emissions per capita (metric tons of carbon dioxide),6.0,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2010,Emissions per capita (metric tons of carbon dioxide),6.8,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2015,Emissions per capita (metric tons of carbon dioxide),7.1,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2017,Emissions per capita (metric tons of carbon dioxide),7.1,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2018,Emissions per capita (metric tons of carbon dioxide),7.2,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
364,Iran (Islamic Republic of),2019,Emissions per capita (metric tons of carbon dioxide),7.0,Data refer to fiscal years beginning 21 March.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,1975,Emissions (thousand metric tons of carbon dioxide),"15,686",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,1985,Emissions (thousand metric tons of carbon dioxide),"38,435",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2005,Emissions (thousand metric tons of carbon dioxide),"71,968",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2010,Emissions (thousand metric tons of carbon dioxide),"90,090",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2015,Emissions (thousand metric tons of carbon dioxide),"100,792",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2017,Emissions (thousand metric tons of carbon dioxide),"119,861",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2018,Emissions (thousand metric tons of carbon dioxide),"128,080",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2019,Emissions (thousand metric tons of carbon dioxide),"139,388",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,1975,Emissions per capita (metric tons of carbon dioxide),1.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,1985,Emissions per capita (metric tons of carbon dioxide),2.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2005,Emissions per capita (metric tons of carbon dioxide),2.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2010,Emissions per capita (metric tons of carbon dioxide),3.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2015,Emissions per capita (metric tons of carbon dioxide),2.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2017,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2018,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
368,Iraq,2019,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,1975,Emissions (thousand metric tons of carbon dioxide),"21,641",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,1985,Emissions (thousand metric tons of carbon dioxide),"27,085",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2005,Emissions (thousand metric tons of carbon dioxide),"44,909",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2010,Emissions (thousand metric tons of carbon dioxide),"39,662",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2015,Emissions (thousand metric tons of carbon dioxide),"35,947",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2017,Emissions (thousand metric tons of carbon dioxide),"36,484",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2018,Emissions (thousand metric tons of carbon dioxide),"36,302",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2019,Emissions (thousand metric tons of carbon dioxide),"34,381",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,1975,Emissions per capita (metric tons of carbon dioxide),6.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,1985,Emissions per capita (metric tons of carbon dioxide),7.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2005,Emissions per capita (metric tons of carbon dioxide),10.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2010,Emissions per capita (metric tons of carbon dioxide),8.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2015,Emissions per capita (metric tons of carbon dioxide),7.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2017,Emissions per capita (metric tons of carbon dioxide),7.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2018,Emissions per capita (metric tons of carbon dioxide),7.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
372,Ireland,2019,Emissions per capita (metric tons of carbon dioxide),6.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,1975,Emissions (thousand metric tons of carbon dioxide),"16,557",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,1985,Emissions (thousand metric tons of carbon dioxide),"24,534",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2005,Emissions (thousand metric tons of carbon dioxide),"59,347",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2010,Emissions (thousand metric tons of carbon dioxide),"69,065",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2015,Emissions (thousand metric tons of carbon dioxide),"64,455",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2017,Emissions (thousand metric tons of carbon dioxide),"64,237",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2018,Emissions (thousand metric tons of carbon dioxide),"59,902",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2019,Emissions (thousand metric tons of carbon dioxide),"61,512",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,1975,Emissions per capita (metric tons of carbon dioxide),4.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,1985,Emissions per capita (metric tons of carbon dioxide),5.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2005,Emissions per capita (metric tons of carbon dioxide),8.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2010,Emissions per capita (metric tons of carbon dioxide),9.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2015,Emissions per capita (metric tons of carbon dioxide),7.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2017,Emissions per capita (metric tons of carbon dioxide),7.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2018,Emissions per capita (metric tons of carbon dioxide),6.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
376,Israel,2019,Emissions per capita (metric tons of carbon dioxide),6.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,1975,Emissions (thousand metric tons of carbon dioxide),"319,892",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,1985,Emissions (thousand metric tons of carbon dioxide),"345,299",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2005,Emissions (thousand metric tons of carbon dioxide),"461,849",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2010,Emissions (thousand metric tons of carbon dioxide),"398,376",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2015,Emissions (thousand metric tons of carbon dioxide),"335,503",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2017,Emissions (thousand metric tons of carbon dioxide),"327,245",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2018,Emissions (thousand metric tons of carbon dioxide),"322,796",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2019,Emissions (thousand metric tons of carbon dioxide),"314,981",Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,1975,Emissions per capita (metric tons of carbon dioxide),5.7,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,1985,Emissions per capita (metric tons of carbon dioxide),6.0,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2005,Emissions per capita (metric tons of carbon dioxide),7.8,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2010,Emissions per capita (metric tons of carbon dioxide),6.6,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2015,Emissions per capita (metric tons of carbon dioxide),5.4,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2017,Emissions per capita (metric tons of carbon dioxide),5.3,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2018,Emissions per capita (metric tons of carbon dioxide),5.2,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
380,Italy,2019,Emissions per capita (metric tons of carbon dioxide),5.1,Data include San Marino and the Holy See.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,1975,Emissions (thousand metric tons of carbon dioxide),"7,171",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,1985,Emissions (thousand metric tons of carbon dioxide),"4,751",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2005,Emissions (thousand metric tons of carbon dioxide),"10,404",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2010,Emissions (thousand metric tons of carbon dioxide),"7,256",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2015,Emissions (thousand metric tons of carbon dioxide),"6,783",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2017,Emissions (thousand metric tons of carbon dioxide),"6,977",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2018,Emissions (thousand metric tons of carbon dioxide),"8,420",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2019,Emissions (thousand metric tons of carbon dioxide),"8,193",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,1975,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,1985,Emissions per capita (metric tons of carbon dioxide),2.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2005,Emissions per capita (metric tons of carbon dioxide),3.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2010,Emissions per capita (metric tons of carbon dioxide),2.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2015,Emissions per capita (metric tons of carbon dioxide),2.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2017,Emissions per capita (metric tons of carbon dioxide),2.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2018,Emissions per capita (metric tons of carbon dioxide),2.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
388,Jamaica,2019,Emissions per capita (metric tons of carbon dioxide),2.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,1975,Emissions (thousand metric tons of carbon dioxide),"856,046",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,1985,Emissions (thousand metric tons of carbon dioxide),"873,173",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2005,Emissions (thousand metric tons of carbon dioxide),"1,191,317",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2010,Emissions (thousand metric tons of carbon dioxide),"1,142,445",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2015,Emissions (thousand metric tons of carbon dioxide),"1,163,533",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2017,Emissions (thousand metric tons of carbon dioxide),"1,138,807",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2018,Emissions (thousand metric tons of carbon dioxide),"1,099,798",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2019,Emissions (thousand metric tons of carbon dioxide),"1,065,846",Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,1975,Emissions per capita (metric tons of carbon dioxide),7.6,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,1985,Emissions per capita (metric tons of carbon dioxide),7.2,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2005,Emissions per capita (metric tons of carbon dioxide),9.2,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2010,Emissions per capita (metric tons of carbon dioxide),8.8,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2015,Emissions per capita (metric tons of carbon dioxide),9.1,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2017,Emissions per capita (metric tons of carbon dioxide),8.9,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2018,Emissions per capita (metric tons of carbon dioxide),8.6,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
392,Japan,2019,Emissions per capita (metric tons of carbon dioxide),8.4,Data include Okinawa.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,1975,Emissions (thousand metric tons of carbon dioxide),"2,181",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,1985,Emissions (thousand metric tons of carbon dioxide),"7,551",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,2005,Emissions (thousand metric tons of carbon dioxide),"18,623",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,2010,Emissions (thousand metric tons of carbon dioxide),"18,969",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,2015,Emissions (thousand metric tons of carbon dioxide),"23,987",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
400,Jordan,2017,Emissions (thousand metric tons of carbon dioxide),"24,681",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
