Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
Rush,2013,8.1,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,432811
Ford v Ferrari,2019,8.1,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289
Spotlight,2015,8.1,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,420316
Song of the Sea,2014,8.1,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,51679
Kahaani,2012,8.1,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,57806
Zindagi Na Milegi Dobara,2011,8.1,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,67927
Prisoners,2013,8.1,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,601149
Mad Max: Fury Road,2015,8.1,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,882316
A Wednesday,2008,8.1,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,73891
Gran Torino,2008,8.1,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,720450
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,764493
Okuribito,2008,8.1,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,48582
Hachi: A Dog's Tale,2009,8.1,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,253575
Mary and Max,2009,8.1,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,164462
How to Train Your Dragon,2010,8.1,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773
Into the Wild,2007,8.1,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,572921
No Country for Old Men,2007,8.1,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,856916
Lage Raho Munna Bhai,2006,8.1,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,43137
Million Dollar Baby,2004,8.1,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,635975
Hotel Rwanda,2004,8.1,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,334320
Taegukgi hwinalrimyeo,2004,8.1,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,37820
Before Sunset,2004,8.1,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,236311
Munna Bhai M.B.B.S.,2003,8.1,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,73992
Salinui chueok,2003,8.1,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,139558
Dil Chahta Hai,2001,8.1,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,66803
Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,1000639
Finding Nemo,2003,8.1,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,949565
Catch Me If You Can,2002,8.1,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,832846
Amores perros,2000,8.1,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,223741
"Monsters, Inc.",2001,8.1,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,815505
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,38847
Lagaan: Once Upon a Time in India,2001,8.1,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,105036
The Sixth Sense,1999,8.1,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,911573
La leggenda del pianista sull'oceano,1998,8.1,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,59020
The Truman Show,1998,8.1,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,939631
"Crna macka, beli macor",1998,8.1,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,50862
The Big Lebowski,1998,8.1,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,732620
Fa yeung nin wah,2000,8.1,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,124383
Trainspotting,1996,8.1,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,634716
Fargo,1996,8.1,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,617444
Underground,1995,8.1,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,55220
La haine,1995,8.1,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,150345
Dilwale Dulhania Le Jayenge,1995,8.1,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,63516
Before Sunrise,1995,8.1,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,272291
Trois couleurs: Rouge,1994,8.1,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,90729
Chung Hing sam lam,1994,8.1,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,63122
Jurassic Park,1993,8.1,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,867615
In the Name of the Father,1993,8.1,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,156842
Ba wang bie ji,1993,8.1,Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge,25088
Dà hóng denglong gaogao guà,1991,8.1,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao,29662
Dead Poets Society,1989,8.1,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,425457
Stand by Me,1986,8.1,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,363401
Platoon,1986,8.1,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,381222
"Paris, Texas",1984,8.1,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,91188
Kaze no tani no Naushika,1984,8.1,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,150924
The Thing,1982,8.1,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,371271
Pink Floyd: The Wall,1982,8.1,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,76081
Fitzcarraldo,1982,8.1,Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,31595
Fanny och Alexander,1982,8.1,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,57784
Blade Runner,1982,8.1,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,693827
The Elephant Man,1980,8.1,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,220078
Life of Brian,1979,8.1,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,367250
The Deer Hunter,1978,8.1,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,311361
Rocky,1976,8.1,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,518546
Network,1976,8.1,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,144911
Barry Lyndon,1975,8.1,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,149843
Zerkalo,1975,8.1,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy,40081
Chinatown,1974,8.1,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,294230
Paper Moon,1973,8.1,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,42285
Viskningar och rop,1972,8.1,Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin,30206
Solaris,1972,8.1,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,81021
Le samouraï,1967,8.1,Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,45434
Cool Hand Luke,1967,8.1,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,161984
Persona,1966,8.1,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,103191
Andrei Rublev,1966,8.1,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,46947
La battaglia di Algeri,1966,8.1,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,53089
El ángel exterminador,1962,8.1,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,29682
What Ever Happened to Baby Jane?,1962,8.1,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,50058
Sanjuro,1962,8.1,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,33044
The Man Who Shot Liberty Valance,1962,8.1,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,68827
Ivanovo detstvo,1962,8.1,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,31728
Jungfrukällan,1960,8.1,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,26697
Inherit the Wind,1960,8.1,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,27254
Les quatre cents coups,1959,8.1,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,105291
Ben-Hur,1959,8.1,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,219466
Kakushi-toride no san-akunin,1958,8.1,Akira Kurosawa,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,34797
Le notti di Cabiria,1957,8.1,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,42940
Kumonosu-jô,1957,8.1,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura,46678
The Bridge on the River Kwai,1957,8.1,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,203463
On the Waterfront,1954,8.1,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,142107
Le salaire de la peur,1953,8.1,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,54588
Ace in the Hole,1951,8.1,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,31568
White Heat,1949,8.1,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,29807
The Third Man,1949,8.1,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,158731
The Red Shoes,1948,8.1,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,30935
The Shop Around the Corner,1940,8.1,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,28450
Rebecca,1940,8.1,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942
Mr. Smith Goes to Washington,1939,8.1,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,107017
Gone with the Wind,1939,8.1,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,290074
La Grande Illusion,1937,8.1,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,33829
It Happened One Night,1934,8.1,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,94016
La passion de Jeanne d'Arc,1928,8.1,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,47676
The Circus,1928,8.1,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,30205
Sunrise: A Song of Two Humans,1927,8.1,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,46865
The General,1926,8.1,Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,81156
Das Cabinet des Dr. Caligari,1920,8.1,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover,57428
Badhaai ho,2018,8.0,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,27978
Togo,2019,8.0,Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer,37556
Airlift,2016,8.0,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,52897
Bajrangi Bhaijaan,2015,8.0,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245
Baby,2015,8.0,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,52848
La La Land,2016,8.0,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918
Lion,2016,8.0,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970
The Martian,2015,8.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094
Zootopia,2016,8.0,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143
Bãhubali: The Beginning,2015,8.0,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972
Kaguyahime no monogatari,2013,8.0,Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,38746
Wonder,2017,8.0,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923
Gully Boy,2019,8.0,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886
Special Chabbis,2013,8.0,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,51069
Short Term 12,2013,8.0,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770
Serbuan maut 2: Berandal,2014,8.0,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316
The Imitation Game,2014,8.0,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201
Guardians of the Galaxy,2014,8.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455
Blade Runner 2049,2017,8.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823
Her,2013,8.0,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772
Bohemian Rhapsody,2018,8.0,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,450349
The Revenant,2015,8.0,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,705589
The Perks of Being a Wallflower,2012,8.0,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,462252
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,79200
The King's Speech,2010,8.0,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,639603
The Help,2011,8.0,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,428521
Deadpool,2016,8.0,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,902669
Darbareye Elly,2009,8.0,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,45803
Dev.D,2009,8.0,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,28749
Yip Man,2008,8.0,Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam,211427
My Name Is Khan,2010,8.0,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,98575
Nefes: Vatan Sagolsun,2009,8.0,Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,31838
Slumdog Millionaire,2008,8.0,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,798882
Black Swan,2010,8.0,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,699673
Tropa de Elite,2007,8.0,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,98097
The Avengers,2012,8.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1260806
Persepolis,2007,8.0,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,88656
Dallas Buyers Club,2013,8.0,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,441614
The Pursuit of Happyness,2006,8.0,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,448930
Blood Diamond,2006,8.0,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,499439
The Bourne Ultimatum,2007,8.0,Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,604694
Bin-jip,2004,8.0,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,50610
Sin City,2005,8.0,Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,738512
Le scaphandre et le papillon,2007,8.0,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,103284
G.O.R.A.,2004,8.0,Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,Ozan Güven,Safak Sezer,56960
Ratatouille,2007,8.0,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,641645
Casino Royale,2006,8.0,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,582239
Kill Bill: Vol. 2,2004,8.0,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,683900
Vozvrashchenie,2003,8.0,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina,42399
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,8.0,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,77520
Mar adentro,2014,8.0,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554
Cinderella Man,2005,8.0,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,176151
Kal Ho Naa Ho,2003,8.0,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,63460
Mou gaan dou,2002,8.0,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,117857
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,1015122
Big Fish,2003,8.0,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,415218
The Incredibles,2004,8.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,657047
Yeopgijeogin geunyeo,2001,8.0,Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,In-mun Kim,Song Wok-suk,45403
Dogville,2003,8.0,Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,137963
Vizontele,2001,8.0,Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli,33592
Donnie Darko,2001,8.0,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,740086
Magnolia,1999,8.0,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,289742
Dancer in the Dark,2000,8.0,Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare,102285
The Straight Story,1999,8.0,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,82002
Pâfekuto burû,1997,8.0,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,58192
Festen,1998,8.0,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,78341
Central do Brasil,1998,8.0,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,36419
The Iron Giant,1999,8.0,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,172083
Knockin' on Heaven's Door,1997,8.0,Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,27721
Sling Blade,1996,8.0,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,86838
Secrets & Lies,1996,8.0,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,37564
Twelve Monkeys,1995,8.0,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,578443
Kôkaku Kidôtai,1995,8.0,Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,129231
The Nightmare Before Christmas,1993,8.0,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,300208
Groundhog Day,1993,8.0,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,577991
Bound by Honor,1993,8.0,Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,28825
Scent of a Woman,1992,8.0,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,263918
Aladdin,1992,8.0,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,373845
JFK,1991,8.0,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau,142110
Beauty and the Beast,1991,8.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178
Dances with Wolves,1990,8.0,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,240266
Do the Right Thing,1989,8.0,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,89429
Rain Man,1988,8.0,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,473064
Akira,1988,8.0,Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,164918
The Princess Bride,1987,8.0,Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,393899
Der Himmel über Berlin,1987,8.0,Wim Wenders,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,64722
Au revoir les enfants,1987,8.0,Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg,31163
Tenkû no shiro Rapyuta,1986,8.0,Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada,150140
The Terminator,1984,8.0,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,799795
Gandhi,1982,8.0,Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,217664
Kagemusha,1980,8.0,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu,32195
Being There,1979,8.0,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,65625
Annie Hall,1977,8.0,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,251823
Jaws,1975,8.0,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,543388
Dog Day Afternoon,1975,8.0,Sidney Lumet,Al Pacino,John Cazale,Penelope Allen,Sully Boyar,235652
Young Frankenstein,1974,8.0,Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle,143359
Papillon,1973,8.0,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon,121627
The Exorcist,1973,8.0,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,362393
Sleuth,1972,8.0,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,44748
The Last Picture Show,1971,8.0,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,42456
Fiddler on the Roof,1971,8.0,Norman Jewison,Topol,Norma Crane,Leonard Frey,Molly Picon,39491
Il conformista,1970,8.0,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio,27067
Butch Cassidy and the Sundance Kid,1969,8.0,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,201888
Rosemary's Baby,1968,8.0,Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,193674
Planet of the Apes,1968,8.0,Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans,165167
The Graduate,1967,8.0,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,253676
Who's Afraid of Virginia Woolf?,1966,8.0,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,68926
The Sound of Music,1965,8.0,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,205425
Doctor Zhivago,1965,8.0,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger,69903
Per un pugno di dollari,1964,8.0,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,198219
8½,1963,8.0,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,108844
