Name,Website,Headquarters_country,Headquarters_address,CEO_name,Board,Supervisor,Supervisor_Website,Shareholder_source,Source,Latitude,Longitude
Bangkok Bank,https://www.bangkokbank.com/,Thailand,"333 Silom Rd,10500 Bangkok",Chatri Sophonpanich,https://www.bangkokbank.com/en/About-Us/Board-Directors/Mr-CHARTSIRI-SOPHONPANICH,Bank of Thailand,http://www.bot.or.th/English/Pages/BOTDefault.aspx,https://www.bangkokbank.com/en/Investor-Relations/Shareholder-Information,https://www.banktrack.org/bank/bangkok_bank,13.7264588,100.5303996
Bank Central Asia (BCA),http://www.bca.co.id/en,Indonesia,"Jl. MH Thamrin No. 1,10310 Jakarta",Jahja Setiaatmadja,https://www.bca.co.id/en/tentang-bca/korporasi/Manajemen-BCA/profile?p=%7B950D9D40-9883-4014-83F8-FFA416A9C609%7D,Bank Indonesia,http://www.bi.go.id/web/en,https://investor.id/market-and-corporate/302109/entitas-milik-hartono-bersaudara-dwimuria-investama-asetnya-tembus-rp-1404-triliun,https://www.banktrack.org/bank/bank_central_asia,-6.1828854,106.8233231
Bank Hapoalim,http://www.bankhapoalim.com/,Israel,"50 Rothschild Boulevard,61025  Tel Aviv",Dov Kotler,https://www.bankhapoalim.com/en/about-us/board-of-management,Bank of Israel,http://www.boi.org.il/en/Pages/Default.aspx,https://www.marketscreener.com/BANK-HAPOALIM-LTD-6491694/company/,https://www.banktrack.org/bank/bank_hapoalim,32.0680926,34.7781121
Bank Leumi,https://english.leumi.co.il/,Israel,"24-32 Yehuda Halevi St.,65546 Tel-Aviv",Hanan Friedman,https://english.leumi.co.il/WnnnWn/16641/,Bank of Israel,http://www.boi.org.il/en/Pages/Default.aspx,https://www.marketscreener.com/quote/stock/BANK-LEUMI-LE-ISRAEL-BM-6491695/company/,https://www.banktrack.org/bank/bank_leumi,32.0614465,34.7704108
Bank Mandiri,https://bankmandiri.co.id/,Indonesia,"Plaza Mandiri, Jl. Jend. Gatot, Subroto Kav. 36-38,12190 Jakarta",Darmawan Junaidi,https://bankmandiri.co.id/en/web/guest/dewan-komisaris-direksi,Indonesian Financial Services Authority (OJK),https://www.ojk.go.id/Default.aspx,https://www.marketscreener.com/quote/stock/PT-BANK-MANDIRI-PERSERO-6496346/company/,https://www.banktrack.org/bank/bank_mandiri,-6.224946999999999,106.8145192
Bank Muscat,http://www.bankmuscat.com,Oman,"Markaz Al Tejari Street P.O. Box No.134 Post Ruwi,Muscat",Sheikh Waleed Khamis Al Hashar,https://www.bankmuscat.com/en/about/pages/management.aspx#,Central Bank of Oman,http://www.cbo-oman.org/,https://www.bankmuscat.com/en/investorrelations/pages/shareholder.aspx,https://www.banktrack.org/bank/bank_muscat,23.5974705,58.5400988
Bank Negara Indonesia (BNI),http://www.bni.co.id,Indonesia,"Jl. Jenderal Sudirman Kav. 1,10220 Jakarta",Royke Tumilaar,https://www.bni.co.id/en-us/company/about-bni/directors,Indonesian Financial Services Authority (OJK),https://www.ojk.go.id/Default.aspx,https://www.marketscreener.com/quote/stock/PT-BANK-NEGARA-INDONESIA-6493911/company/,https://www.banktrack.org/bank/bank_negara_indonesia,-6.2193576,106.8140046
Bank Rakyat Indonesia (BRI),http://www.bri.co.id/,Indonesia,"Jl. Jenderal Sudirman Kav.44-46,10210 Jakarta",Sunarso,https://www.ir-bri.com/management.html,Bank Indonesia,http://www.bi.go.id/web/en,https://www.ir-bri.com/ownership.html,https://www.banktrack.org/bank/bank_rakyat_indonesia,-6.2757397,106.8365054
Bank SinoPac,https://bank.sinopac.com/sinopacBT/en/index.html,"Taiwan, Republic of China","No. 36, Nanking East Road, Sec. 3,Taipei City",Eric Chuang,https://bank.sinopac.com/sinopacBT/en/about/tagList20180102210052310000000000000533.html,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/SINOPAC-FINANCIAL-HOLDING-6495027/company/,https://www.banktrack.org/bank/bank_sinopac,25.0607521,121.5874067
Bank of Africa - BMCE Group,https://www.bankofafrica.ma/en/bank-of-africa,Morocco,"140, Avenue Hassan II,P.O. Box 13425 Casa Casablanca",Othman Benjelloun,https://www.ir-bankofafrica.ma/le-groupe/qui-sommes-nous/mot-du-president,Bank Al-Maghrib,http://www.bkam.ma/,https://www.bmcebank.ma/en/bmce-group/our-banking-group/management/shareholding-structure,https://www.banktrack.org/bank/bmce_bank,33.5844394,-7.623198599999998
Bank of America,http://www.bankofamerica.com,United States,"100 North Tryon Street,28255 Charlotte, NC",Brian T. Moynihan,https://about.bankofamerica.com/en-us/who-we-are/brian-moynihan-biography.html#fbid=mqiMZ3Uf4dh,Federal Reserve,http://www.federalreserve.gov/,https://www.nasdaq.com/symbol/bac/ownership-summary,https://www.banktrack.org/bank/bank_of_america,35.227044,-80.842073
Bank of China,http://www.boc.cn/en/index.html,China,"No.1 Fuxingmen Nei Street, Xicheng District,100818  Beijing",Liu Liange,https://www.boc.cn/en/investor/ir6/201504/t20150402_4830133.html,People's Bank of China,http://www.pbc.gov.cn/english/,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNKDI_SAFBMIvXD8KnxJwCOJVYAJTgC8MwArweLIgNxQIIgwyPdMVAd_DIU4!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/bank_of_china,39.9073,116.36566
Bank of Chongqing,http://www.cqcbank.com/cn/home/index.html,China,"No. 6 Yongpingmen Street Chengxi Avenue Jiangbei District,400024 Chongqing Sichuan",None,None,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/BANK-OF-CHONGQING-CO-LT-14821650/company/,https://www.banktrack.org/bank/bank_of_chongqing,29.57526,106.56844
Bank of Communications,http://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600212/list.shtml?channelId=,China,"188 Yinchengzhong Road,200120 Shanghai",Ren Deqi,https://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600223/2600231/2600345/list.shtml?channelId=2600234,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600223/2600238/2600348/list.shtml?channelId=2600238,https://www.banktrack.org/bank/bank_of_communications,31.2272126,121.5159298
Bank of Guizhou,https://english.bgzchina.com/,China,"No. 149 South Zhonghua Road,GUZ  550001 Guiyang",None,None,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.barrons.com/quote/stock/hk/xhkg/6199,https://www.banktrack.org/bank/bank_of_guizhou,26.59821,106.70738
Bank of Huzhou,http://www.hzccb.net/portal/zh_CN/home/index.html,China,"471-475 South Street,313000  Huzhou",None,None,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,http://www.sjfzxm.com/global/en/561790.html,https://www.banktrack.org/bank/bank_of_huzhou,30.861388,120.099317
Bank of India,http://www.bankofindia.co.in,India,"Star House C-5 400 051,Mumbai",Shri Atanu Kumar Das,https://www.bankofindia.co.in/MDandCEO,Reserve Bank of India,https://www.rbi.org.in/,None,https://www.banktrack.org/bank/bank_of_india,19.1641078,72.9555377
Bank of Jiangsu,http://www.jsbchina.cn,China,"26 Zhonghua Road,PC 210001 Nanjing",Xia Ping,https://www.bloomberg.com/profiles/people/16357631-ping-xia,People's Bank of China,http://www.pbc.gov.cn/english/,https://www.marketscreener.com/BANK-OF-JIANGSU-CO-35806841/company/?iCStream=1,https://www.banktrack.org/bank/bank_of_jiangsu,33.01441,119.66775
Bank of Montreal,http://www.bmo.com/home,Canada,"1 First Canadian Place,ON M5X 1H3 Toronto",Darryl White,https://www.bmo.com/home/about/banking/corporate-information/executive-bios/darryl-white,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=BMO&subView=institutional,https://www.banktrack.org/bank/bmo_financial_group,43.6488906,-79.38087259999999
