Name,Website,Headquarters_country,Headquarters_address,CEO_name,Board,Supervisor,Supervisor_Website,Shareholder_source,Source,Latitude,Longitude
Bank of Nanjing,http://www.njcb.com.cn/col/col1642/index.html,China,"No 288 Zhongshan Road,Xuanwu District Nanjing",Mr. Lin Fu,http://www.reuters.com/finance/stocks/officerProfile?symbol=601009.SS&officerId=999347,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.njcb.com.cn/col/col1656/index.html,https://www.banktrack.org/bank/bank_of_nanjing,32.03629,118.84605
Bank of Ningbo,http://www.nbcb.cn/ywb/index.shtml,China,"No. 294, Zhongshan East Road,Ningbo, Zhejiang",Mr. Lu Huayu,http://www.reuters.com/finance/stocks/officerProfile?symbol=002142.SZ&officerId=999184,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,None,https://www.banktrack.org/bank/bank_of_ningbo,29.66523,121.41574
Bankia,http://www.bankia.com/en/,Spain,"Calle Pintor Sorolla 8,E-46002 Valencia",None,None,Banco de España,http://www.bde.es/homee.htm,https://www.bankia.com/en/shareholders-and-investors/the-share/shareholder-structure/,https://www.banktrack.org/bank/bankia,39.4709036,-0.3729477
CITIC Bank International,http://www.cncbinternational.com/home/en/index.jsp,China,"232 Des Voeux Road Central,Hong Kong",Dr. Chen Xiaoxian,http://www.cncbinternational.com/about-us/our-management/en/index.jsp,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,None,https://www.banktrack.org/bank/citic_bank_international,22.2862387,114.152621
Export-Import Bank of China,http://english.eximbank.gov.cn/,China,"No.30, Fu Xing Men Nei Street, Xi cheng District,,100031 Beijing",Hu Xiaolian,http://english.eximbank.gov.cn/tm/en-TE/index_628.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,None,https://www.banktrack.org/bank/china_exim_bank,39.907252,116.357641
Finnfund,http://www.finnfund.fi/,Finland,"Uudenmaankatu 16B,FI-00121 Helsinki",Jaakko Kangasniemi,http://www.finnfund.fi/yritys/organisaatio/en_GB/managing_director/,None,None,None,https://www.banktrack.org/bank/finnfund,60.1639757,24.9401281
Getin Noble Bank,http://en.gnb.pl/,Poland,"Przyokopowa 33,01-208 Warsaw",Krzysztof Rosinski,http://en.gnb.pl/krzysztof-rosinski,Narodowi Bank Polski,http://www.nbp.pl/homen.aspx?f=/srodeken.htm,http://en.gnb.pl/akcjonariat,https://www.banktrack.org/bank/getin_noble_bank,52.2314807,20.9802472
HSH Nordbank,http://www.hsh-nordbank.com,Germany,"Gerhart-Hauptmann-Platz 50,20095 Hamburg",Constantin von Oesterreich,http://www.hsh-nordbank.com/en/corporation/unternehmensprofil_3/vorstand_5/vonoesterreich.jsp,Bundesbank,http://www.bundesbank.de/,None,https://www.banktrack.org/bank/hsh_nordbank,53.550953,9.9986995
Helaba,https://www.helaba.de,Germany,"Neue Mainzer Straße 52-58,D-60311 Frankfurt am Main",Hans-Dieter Brenner,https://www.helaba.de/en/DieHelaba/UeberUns/VorstandGremien,Bundesbank,http://www.bundesbank.de/,https://www.helaba.de/en/DieHelaba/UeberUns/RechtsformundTraeger,https://www.banktrack.org/bank/helaba,50.11255,8.672141
Hua Xia Bank,http://www.hxb.com.cn/home/en/,China,"Hua Xia Bank Plaza, No.22 Jianguomennei Street, Dongcheng District,100005 Beijing",Jian Wu,http://www.hxb.com.cn/english/abouthxb/index.jsp?cid2=11800579067030141&cid3=11800579771400145,None,None,None,https://www.banktrack.org/bank/hua_xia_bank,39.9615556,116.4075303
Itaú Corpbanca,http://www.corpbanca.cl,Chile,"660 Rosario Norte Las Condes,Santiago",Milton Maluhy,https://banco.itau.cl/wps/wcm/connect/e624d6f8-7361-4dab-beeb-def21ed1062e/2016-05-05-Organization-Chart.pdf?MOD=AJPERES&CACHEID=e624d6f8-7361-4dab-beeb-def21ed1062e,Banco Central de Chile,http://www.bcentral.cl/eng/,http://www.corpbanca.cl/portal/?page=Document/doc_view_section.asp&id_document=6660&id_category=83,https://www.banktrack.org/bank/corpbanca,-33.4042181,-70.5734045
KfW,https://www.kfw.de/kfw.de-2.html,Germany,"Palmengartenstraße 5-9,60325 Frankfurt am Main",Dr Ulrich Schröder,https://www.kfw.de/KfW-Group/About-KfW/Vorstand-und-Gremien/Vorstand/,None,None,None,https://www.banktrack.org/bank/kfw,50.1203277,8.6558153
Life Insurance Corporation of India,http://www.licindia.in,India,"4th Floor, West Wing, Yogakshema,Jeevan Bhima Marg, Nariman Point,19953 Mumbai-400021",Shri S. K. Roy,http://www.licindia.in/board_of_directors.htm,India Insurance Regulatory and Development Authority,http://www.irda.gov.in/,None,https://www.banktrack.org/bank/life_insurance_corporation_of_india,18.9295855,72.8239451
NORD/LB,https://www.nordlb.com,Germany,"Friedrichswall 10,30159 Hanover",Gunter Dunkel,https://www.nordlb.com/fileadmin/redaktion/branchen/investorrelations/pdf/CV_Dunkel.pdf,None,None,https://www.nordlb.com/nordlb/about-us/portrait/,https://www.banktrack.org/bank/norddeutsche_landesbank_nordlb_,52.3679168,9.7415832
Otkritie Bank,http://www.openbank.ru,Russian Federation,"2/4 Letnikovskaya St.,115114 Moscow",Ruben Aganbegy,http://www.open.ru/en/about/team/managing_board/,Bank of Russia,http://www.cbr.ru/eng,http://ir.otkritiefc.ru/about-nomos/shareholders-structure/,https://www.banktrack.org/bank/otkritie_bank,55.7223856,37.6496105
Power Finance Corporation (PFC),http://www.pfcindia.com,India,"1, Barakhamba Lane, Connaught Place,110 001 New Delhi",Shri M.K.Goel,http://www.pfcindia.com/Content/Board_of_directors.aspx,Reserve Bank of India,https://www.rbi.org.in/,None,https://www.banktrack.org/bank/power_finance_corporation,28.6311833,77.22517529999999
RSF Social Finance,http://www.rsfsocialfinance.org,United States,"1002A O’Reilly Avenue,CA 94129 San Francisco",Don Shaffer,http://rsfsocialfinance.org/about/board/don-shaffer/,None,None,None,https://www.banktrack.org/bank/rsf_social_finance,37.8004042,-122.4508621
Suncorp,http://www.suncorpgroup.com.au,Australia,"36 Wickham Tce,4000 Brisbane",Patrick Snowball,http://www.suncorpgroup.com.au/about-us/our-leadership-team,Reserve Bank of Australia,http://www.rba.gov.au/,None,https://www.banktrack.org/bank/suncorp,-27.4647668,153.0275763
VTB,http://www.vtb.com/,Russian Federation,"Ul. Bolshaya Morskaya, 29,,190000 St. Petersburg",Andrei L. Kostin,http://www.vtb.com/group/management/guide/,None,None,http://www.generali.com/generalicom/home.do,https://www.banktrack.org/bank/vtb_bank,59.9085578,29.80446019999999
Vnesheconombank,http://www.veb.ru/en/,Russian Federation,"Akademika Sakharova Prospekt, 9,107996 Moscow",V.A. Dmitriev,http://veb.ru/en/about/officials/board/,Central Bank of Russia,http://www.cbr.ru/eng/,None,https://www.banktrack.org/bank/vnesheconombank,55.772562,37.6455441
Wing Lung Bank,http://www.winglungbank.com/wlb_corporate/en/index.html,Hong Kong,"45 Des Voeux Road Central, Central and Western District,Hong Kong Island",Zhu Qi,http://www.winglungbank.com/wlb_corporate/en/about-us/corporate-information/management.html,None,None,None,https://www.banktrack.org/bank/wing_lung_bank,22.2834186,114.1571031
Zurich Kantonalbank,http://www.zkb.ch/de/center_worlds/englishwindow.html,Switzerland,"Bahnhofstrasse 9,8001 Zurich",Mr. Martin Scholl,http://www.zkb.ch/de/center_worlds/englishwindow/about_us/portrait/who_is_who/Executive_Board.html,Swiss National Bank,http://www.snb.ch/,None,https://www.banktrack.org/bank/zurich_kantonalbank,47.36816160000001,8.539703099999999
