name,website,headquarters_country,headquarters_address,ceo_name,board,supervisor,supervisor_website,shareholder_source,source,latitude,longitude,world_region,url_logo
MUFG,http://www.bk.mufg.jp/global/,Japan,"7-1 Marunouchi 2-Chome Chiyoda,100-0005  Tokyo",Junichi Hanzawa,http://www.bk.mufg.jp/global/aboutus/management.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.marketscreener.com/MITSUBISHI-UFJ-FINANCIAL-6492551/company/,https://www.banktrack.org/bank/bank_of_tokyo_mitsubishi_ufj,35.6800538,139.7630222,Asia,https://www.banktrack.org/thumbimage.php?image=logo_mitsubishi_ufj_financial_group_crop.svg&amp
Mizuho,https://www.mizuho-fg.com/index.html,Japan,"1–5–5, Otemachi, Chiyoda–ku 100–8176,Tokyo",Masahiro Kihara,https://www.mizuho-fg.com/company/info/executives/index.html,Financial Service Agency (Japan),http://www.fsa.go.jp/en/index.html,https://www.marketscreener.com/MIZUHO-FINANCIAL-GROUP-I-6496086/company/,https://www.banktrack.org/bank/mizuho,35.6854417,139.7653698,Asia,https://www.banktrack.org/thumbimage.php?image=mizuho_logo_high_res_small.jpg&amp
Morgan Stanley,http://www.morganstanley.com/,United States,"1585 Broadway,NY 10036 New York",Mr. James Gorman,http://www.morganstanley.com/about-us-governance/board.html,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/MORGAN-STANLEY-13654/company/,https://www.banktrack.org/bank/morgan_stanley,40.7600547,-73.9855324,North America,https://www.banktrack.org/thumbimage.php?image=190625_morganstanleynewlogojune2019_1_crop.png&amp
NAB,https://www.nab.com.au/,Australia,"800 Bourke St W, Docklands Victoria,3008 Melbourne",Ross McEwan,https://www.nab.com.au/about-us/board-of-directors/ross-mcewan,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/NATIONAL-AUSTRALIA-BANK-L-6493174/company/,https://www.banktrack.org/bank/national_australia_bank_group,-37.8194,144.9446995,Oceania,https://www.banktrack.org/thumbimage.php?image=NAB.jpg&amp
NatWest,https://www.natwestgroup.com/,United Kingdom,"Gogarburn 175 Glasgow Road,EH12 1HQ  Edinburgh Scotland",Paul Thwaite,https://www.natwestgroup.com/who-we-are/board-and-governance/executive-management-team/paul-thwaite.html,Bank of England,http://www.bankofengland.co.uk/,https://investors.natwestgroup.com/share-data/equity-ownership-statistics,https://www.banktrack.org/bank/natwest,55.9352996,-3.3326296,Europe,https://www.banktrack.org/thumbimage.php?image=logo_natwest_group_crop.png&amp
Nordea Bank,http://www.nordea.com,Finland,"Satamaradankatu 5,FI-00020 Helsinki",Frank Vang-Jensen,http://www.nordea.com/en/press-and-news/press-photos/group-ceo/,Finnish Financial Supervisory Authority,http://www.finanssivalvonta.fi,https://www.nordea.com/en/investor-relations/share/shareholders/,https://www.banktrack.org/bank/nordea,60.1903799,24.954886,Europe,https://www.banktrack.org/thumbimage.php?image=Nordea Logo.JPG&amp
PNC,https://www.pnc.com/,United States,"249 Fifth Avenue, One PNC Plaza,PA 15222 Pittsburgh",William S. Demchak,https://www.pnc.com/en/about-pnc/company-profile/leadership-team.html?lnksrc=topnav,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=PNC&subView=institutional,https://www.banktrack.org/bank/pnc,40.4412936,-80.0004871,North America,https://www.banktrack.org/thumbimage.php?image=PNClogo.gif&amp
Ping An Insurance Group,http://bank.pingan.com/en/index.shtml,China,"No. 5047 Shennan East Road Luohu District Shenzhen,518001 Guangdong",Yue Fei Hu,https://group.pingan.com/about_us/our_leadership.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/PING-AN-BANK-CO-LTD-6495775/company/,https://www.banktrack.org/bank/ping_an_bank,22.54495,114.12911,Asia,https://www.banktrack.org/thumbimage.php?image=Ping_An_Bank_Logo.svg.png&amp
Postal Savings Bank of China,http://www.psbc.com/cn/index.html,China,"No. 131 Xuanwumen West Street, Xicheng District,100808 Beijing",None,None,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/POSTAL-SAVINGS-BANK-OF-CH-31587274/company/,https://www.banktrack.org/bank/postal_savings_bank_of_china,39.8991324,116.3621958,Asia,https://www.banktrack.org/thumbimage.php?image=210111_psbclogo_crop.png&amp
RBC,http://www.rbc.com,Canada,"200 Bay Street,ON  M5J 2J5 Toronto",David I. McKay,https://www.rbc.com/newsroom/news/executive-biographies/dave-mckay.html,Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/ROYAL-BANK-OF-CANADA-1411559/company/,https://www.banktrack.org/bank/rbc,43.6465177,-79.3800808,North America,https://www.banktrack.org/thumbimage.php?image=RBC-LOGO-NEW_0.jpg&amp
