New_project;Carbon_Bomb_Name;Country;Potential_GtCO2;Fuel_type;GEM_ID;GEM_source;Latitude;Longitude;Operators;Owners;Parent_Company;Multiple_unit_concerned
False;Qingchunta Coal Mine;China;1.423502203;Coal;M0309;https://www.gem.wiki/Qingchunta_mine;39.476108;111.32351;Inner Mongolia Pearl River Investment Company;Guangdong Hanjian Holding Company (94%), Shanghai Chengrui Investment Company (6%);Guangdong Hanjian Holding Company (94%), Shanghai Chengrui Investment Company (6%);
False;Xiaozhuang Coal Mine;China;1.41071304;Coal;M0387;https://www.gem.wiki/Xiaozhuang_Coal_Mine;35.08346;107.983823;Shaanxi Binchang Xiaozhuang Coal Company;Shaanxi Coal and Chemical Industry Group (45%), China Development Bank (6%), Others (49%);Shaanxi Coal and Chemical Industry Group (45%), China Development Bank (6%), Others (49%);
False;Talahao Coal Mine;China;1.297489895;Coal;M0353;https://www.gem.wiki/Talahao_mine;39.79013;110.156685;Inner Mongolia Yitai Coal Company;Yitai Group;Inner Mongolia Yitai Investment;
False;Baishihu Surface Mine;China;1.2935604;Coal;M0170;https://www.gem.wiki/Baishihu_Surface_Mine;43.917059;94.670358;Yiwu Gunaghui Mining Company;Guanghui Energy Holding Company (94%), Xinjiang Guanghui Industry Investment Group (5%), Xinjiang Production and Construction Corps (1%);Guanghui Energy Holding Company (94%), Xinjiang Guanghui Industry Investment Group (5%), Xinjiang Production and Construction Corps (1%);
False;Fengjiata Coal Mine;China;1.18617048;Coal;M0213;https://www.gem.wiki/Fengjiata_Coal_Mine;39.196394;111.13213;Shaanxi Qingshuichuan Energy Company;Shaanxi Investment Group (66%), Shaanxi Coal and Chemical Industry Group (34%);Shaanxi Investment Group (66%), Shaanxi Coal and Chemical Industry Group (34%);
False;Wucaiwan No.1 Surface Mine;China;1.389697968;Coal;M0376;https://www.gem.wiki/Wucaiwan_No.1_open-pit_mine;44.933507;89.184722;Xinjiang Yihua Mining;Zhejiang Xinhu Group Holding Company (34%), Zhejiang Shenglong Industrial Company (6%), Yichang Caiyuan Investment and Management Company (41%), Yichang Xinfa Industry Investment Company (10%), Hubei Yihua Chemical Company (7%), Xinjiang Energy Group (2%);Zhejiang Xinhu Group Holding Company (34%), Zhejiang Shenglong Industrial Company (6%), Yichang Caiyuan Investment and Management Company (41%), Yichang Xinfa Industry Investment Company (10%), Hubei Yihua Chemical Company (7%), Xinjiang Energy Group (2%);
False;Gaojialiang No.1 Coal Mine;China;2.012584728;Coal;M0220;https://www.gem.wiki/Gaojialiang_No.1_coal_mine;39.724671;110.065041;Ordos Haohua Fine Coal Company;Beijing Energy (50%), Ordos Energy Investment and Development Company (20%), Shougang Group (1%), Others (29%);Beijing Energy (50%), Ordos Energy Investment and Development Company (20%), Shougang Group (1%), Others (29%);
False;Gaohe Coal Mine;China;1.533939;Coal;M0218;https://www.gem.wiki/Gaohe_Coal_Mine;36.152253;112.990815;Shanxi Gaohe Energy Company;Lu'an Chemical Group (55%), Asian American Continental Coal Company (45%);Lu'an Chemical Group (55%), Asian American Continental Coal Company (45%);
False;Hongshaquan No.1 Coal Mine;China;8.97193968;Coal;M0247;https://www.gem.wiki/Hongshaquan_North_Surface_Mine;44.5192;90.3135;Zhonglian Runshi Xinjiang Coal Industry Company;Yima Coal Industry Group (60%), Beijing Lirui Investment Company (40%);Yima Coal Industry Group (60%), Beijing Lirui Investment Company (40%);
False;Ningxia Hongliu Coal Mine;China;2.899771908;Coal;M0302;https://www.gem.wiki/Ningxia_Hongliu_mine;37.883204;106.7576;China Energy Ningxia Coal Industry Company;National Energy Investment Group (51%), Ningxia State-Owned Capital Operation Group (49%);China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);
False;Guojiawan Coal Mine;China;1.87688292;Coal;M1128;https://www.gem.wiki/Fugu_Guojiawan_mine;39.278743;110.39397;Yulin Shenhua Energy;National Energy Investment Group (37%), Shaanxi Coal and Chemical Group (18%), Fugu State-Owned Asset Management and Operation Company (21%), Others (24%);China Energy (37%), Shaanxi Coal and Chemical Group (18%), Fugu State-Owned Asset Management and Operation Company (21%), Others (24%);
