Country_source_CB,Year,Category,Series,Value,Footnotes,Source
Argentina,2020,"Population, density and surface area",Population aged 60+ years old (percentage),16.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Population density,16.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Surface area (thousand km2),"2,796","The total area includes continental areas and islands, and excludes Antarctic area.","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Argentina,2022,"Population, density and surface area",Population mid-year estimates (millions),45.51,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Population mid-year estimates for males (millions),22.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Population mid-year estimates for females (millions),22.98,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Sex ratio (males per 100 females),98.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Population aged 0 to 14 years old (percentage),23.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Population aged 60+ years old (percentage),16.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2022,"Population, density and surface area",Population density,16.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,1995,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"279,701",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2005,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"200,622",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2010,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"426,487",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2015,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"644,903",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2018,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"517,627",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2019,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"445,445",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2020,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"383,067",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,1995,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"8,031",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2005,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"5,158",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2010,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"10,429",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2015,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"14,971",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2018,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"11,668",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2019,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"9,947",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2020,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"8,476",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,1995,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"377,768",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2005,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"472,004",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2010,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"599,349",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2015,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"644,903",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2018,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"632,629",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2019,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"619,420",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2020,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"558,065",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,1995,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),-2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2005,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),8.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2010,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),10.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
